Entry,6169,OLDRS,RANK,RS,RAWQP,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
1,0006020-1,4.32,11,24,0.6,21,,,,,,,,,4,,,,Montefalco Sagrantino Il Domenico,DOCG,Montefalco Sagrantino,Adanti,Umbria,3★-5★,38-42,Sagrantino 100%,Bocconcini di cinghiale con salsa di prugne – Beccacce al ginepro – Piccione allo spiedo,88.7,3★-5★,88.7,nd,nd,,,Rosso fermo,Red Wine,14.5,3k,36,botte grande,big oak,,,Italy,,,
2,5981,,,,,,,,,,,,,,,2017,2011,,Montefalco Sagrantino,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3,25-29,Sagrantino 100%,Piccione alla leccarda,86,3,86,nd,nd,,,Rosso fermo,Red Wine,14.5,35,34,botte media/botte grande,medium oak/big oak,"Rubino cupo tendente al granato. Il profilo olfattivo si compone di eleganti sensazioni ben modulate: mora, visciola, tamarindo, spezie orientali e balsamicità fluiscono pulite e decise. All'assaggio propone un invitante slancio espressivo sottolineato dalla solida struttura gustativa e dal tannino ben estratto,  che trova bilanciamento in morbidezza e calore. Lunga persistenza finale dal carattere speziato. Sosta per 18 mesi  in botti da 25 ettolitri e per altri 6 in tonneau ",,Italy,,,
2,5981,,,,,,,,,,,,,,,2018,2012,,Montefalco Sagrantino,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3,19-23,Sagrantino 100%,Fegatelli allo spiedo,86,3,86,nd,nd,,,Rosso fermo,Red Wine,14.5,33,34,botte media/botte grande,medium oak/big oak,"Rubino con bordo granato. Sfoggia un naso elegante di notevole complessità, denso di frutta nera e spezie, con un contrappunto balsamico minerale. Sfilano in successione mora di  rovo, confettura di visciola, chiodi di garofano, foglie di tè, tabacco biondo, eucalipto e china. Ingresso in bocca ricco di intensità; un tannino fitto in  via di integrazione cadenza tutte le  altre sensazioni gustative; nel finale trova spazio l'avvolgenza alcolica e  uno spunto minerale. Gustoso nella persistenza, che alterna rimandi a spezie e frutta. Sosta per 18 mesi in botti da 25 ettolitri e 6 mesi in tonneau. ",,Italy,,,
2,5981,,,,,,,,,,,,,,,2019,2013,,Montefalco Sagrantino,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3,19-23,Sagrantino 100%,Peposo al Sagrantino,86,3,86,nd,nd,,,Rosso fermo,Red Wine,14,13,30,botte media/botte grande,medium oak/big oak,"Rosso rubino impenetrabile. Sfumature di sottobosco si accompagnano ad aromi di frutti rossi, spezie e cuoio, su un sottofondo balsamico. Il tannino setoso e al contempo la potente struttura regalano finezza e lunghezza gustativa. Matura per 6 mesi in tonneau, poi 2 anni in botti da 25 ettolitri. ",,Italy,,,
2,5981,,,,,,,,,,,,,,,2020,2014,,Montefalco Sagrantino,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3,25-29,Sagrantino 100%,Cinghiale alla cacciatora,86,3,86,nd,nd,,,Rosso fermo,Red Wine,14.5,33,30,botte media/botte grande,medium oak/big oak,"Rosso rubino luminoso. Presenta un ventaglio di spezie dolci, frutta sotto spirito, rose e viole essiccate; una scia minerale e balsamica dà slancio a una speziatura di pepe nero. Avvolge il palato in un caldo abbraccio; il tannino vellutato si rinforza con la freschezza e l'ottima sapidità; la ricchezza estrattiva attenua l'esuberanza giovanile e lo rende già molto godibile. Matura in botti da 25 ettolitri per 30 mesi ",,Italy,,,
2,5981,,,,,,,,,,,,,,,2021,2015,,Montefalco Sagrantino,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3,25-29,Sagrantino 100%,nd,86,3,86,nd,nd,,,Rosso fermo,Red Wine,15,66,30,botte media/botte grande,medium oak/big oak,,,Italy,,,
2,5981,,,,,,,,,,,,,,,2022,2016,,Montefalco Sagrantino,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3,25-29,Sagrantino 100%,nd,88,3,88,nd,nd,,,Rosso fermo,Red Wine,15,66,36,botte media/botte grande,medium oak/big oak,,,Italy,,,
2,5981,,,,,,,,,,,,,,,2023,2017,,Montefalco Sagrantino,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,4,33-37,Sagrantino 100%,Formaggio di fossa,89,4,89,nd,nd,,,Rosso fermo,Red Wine,15,6,36,botte media/botte grande,medium oak/big oak,,,Italy,,,
1,0005981-1,2.7,21,15,0.43,15,,,,,,,,,3.1,,,,Montefalco Sagrantino,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3★-4★,33-37,Sagrantino 100%,Fegatelli allo spiedo – Peposo al Sagrantino – Cinghiale alla cacciatora – Formaggio di fossa,86.7,3★-4★,86.7,nd,nd,,,Rosso fermo,Red Wine,15,6k,36,botte media/botte grande,medium oak/big oak,,,Italy,,,
2,5991,,,,,,,,,,,,,,,2017,2009,,Montefalco Sagrantino Chiusa Di Pannone,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,4,37-41,Sagrantino 100%,Anatra caramellata con salsa al curry,89,4,89,nd,nd,,,Rosso fermo,Red Wine,15,4,24,botte media/botte grande,medium oak/big oak,"Manto rubino con bagliori granato  Al naso in raffinata sequenza si alternano piacevoli toni di frutta scura in confettura, ciliegie, ribes, pepe in grani, fiori macerati, tabacco dolce, alloro e ricordi di grafite. All'assaggio si mostra pieno nel corpo e con un equilibrio in via di assestamento. Garbata freschezza, sapidità e patrimonio tannico di ottima fattura conferiscono un finale gustoso con puntuale rispondenza aromatica. Matura per 2 anni in tonneau e botti da 25 ettolitri. ",,Italy,,,
2,5991,,,,,,,,,,,,,,,2018,2010,,Montefalco Sagrantino Chiusa Di Pannone,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,4,28-32,Sagrantino 100%,Bocconcini di cinghiale in umido,90,4,90,nd,nd,,,Rosso fermo,Red Wine,15,4,24,botte media/botte grande,medium oak/big oak,"Rubino scuro con nuance granato, consistente e luminoso. La complessità olfattiva esibisce in primo piano sentori di spezie e frutta in confettura, chiodi di garofano, cardamomo, cacao, amarene sotto spirito e visciole; si affacciano  poi ricordi di alloro, china, rosa canina, caramella alle erbe e note ferrose. La bocca è potente e voluminosa, i tannini determinano il percorso gustativo  e tengono testa alla spinta calorica, artefici della sontuosa struttura L'impianto nella sua ricchezza finale tende ad asciugarsi e lascia una scia aromatica carica di spezie e frutta, perfettamente coerente con i profumi Matura un anno in tonneau e 3 anni in botti da 25 ettolitri. ",,Italy,,,
2,5991,,,,,,,,,,,,,,,2019,2011,,Montefalco Sagrantino Chiusa Di Pannone,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,4,28-32,Sagrantino 100%,Capriolo in salmì,89,4,89,nd,nd,,,Rosso fermo,Red Wine,15.5,4,24,botte media/botte grande,medium oak/big oak,"Manto rosso rubino. Esprime subito  un ventaglio di frutta rossa, mirtillo  e visciola, con eleganti spezie dolci, tabacco, sottobosco, polvere di cacao e fiori appassiti, a comporre un corredo in continua evoluzione. Colpisce il tannino, potente ma vellutato, integrato con la fresca dote balsamica. Lunghissima la persistenza con nitidi richiami coerenti con il preludio olfattivo. Emerge con chiarezza l'enorme potenziale evolutivo di un vino, già ora capace di regalare grandi emozioni. Matura un anno in tonneau e 3 anni in botti da 25 ettolitri. ",,Italy,,,
2,5991,,,,,,,,,,,,,,,2020,2012,,Montefalco Sagrantino Chiusa Di Pannone,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3,37-41,Sagrantino 100%,Beccacce al tartufo nero,87,3,87,nd,nd,,,Rosso fermo,Red Wine,15,6,48,botte media/botte grande,medium oak/big oak,"Manto rubino profondo. Uno scenario  di profumi con frutta nera sotto spirito, pot-pourri, humus; racconta di un bazar ricco di spezie e balsami, cuoio e smalto, tabacco e polvere di caffè, fino a uno sfumato ricordo di incenso. All'assaggio mostra volume e avvolgenza, con un tannino setoso e di pregevole estrazione, valorizzato da un'intrigante freschezza  e un alito sapido, in un equilibrio che  si concretizzerà nel tempo; durevole  il finale. Dalle migliori uve del cru aziendale, matura per 4 anni in tonneau e botti da 25 ettolitri ",,Italy,,,
2,5991,,,,,,,,,,,,,,,2021,2015,,Montefalco Sagrantino Chiusa Di Pannone,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,4,37-41,Sagrantino 100%,Palombe alla ghiotta,89,4,89,nd,nd,,,Rosso fermo,Red Wine,15,6,48,botte media/botte grande,medium oak/big oak,"Limpido rubino con bagliori granato. | profumi di marasca sotto spirito e mora in confettura aprono la scena, a braccetto con sensazioni di pepe, chiodi di garofano e noce moscata L'avvincente sequenza prosegue con pot-pourri, macchia mediterranea, liquirizia e tabacco. Il palato si rivela caldo, con una trama tannica fine, che non oscura la freschezza nella progressione gustativa. Persistenza rispondente all'olfatto. Per 4 anni in tonneau e botti da 25 ettolitri ",,Italy,,,
2,5991,,,,,,,,,,,,,,,2023,2016,,Montefalco Sagrantino Chiusa Di Pannone,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3,42-46,Sagrantino 100%,Braciola di cervo al ribes,88,3,88,nd,nd,,,Rosso fermo,Red Wine,15,6,48,botte media/botte grande,medium oak/big oak,,,Italy,,,
1,0005991-1,4.68,10,26,0.59,21,,,,,,,,,3.7,,,,Montefalco Sagrantino Chiusa Di Pannone,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3★-4★,42-46,Sagrantino 100%,Anatra caramellata con salsa al curry – Bocconcini di cinghiale in umido – Capriolo in salmì – Beccacce al tartufo nero – Palombe alla ghiotta – Braciola di cervo al ribes,88.7,3★-4★,88.7,nd,nd,,,Rosso fermo,Red Wine,15,6k,48,botte media/botte grande,medium oak/big oak,,,Italy,,,
2,6044,,,,,,,,,,,,,,,2021,2015,,Montefalco Sagrantino Molino Dell'Attone,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3,41-45,Sagrantino 100%,nd,86,3,86,nd,nd,,,Rosso fermo,Red Wine,14.5,1,-,-,-,,,Italy,,,
2,6044,,,,,,,,,,,,,,,2023,2016,,Montefalco Sagrantino Molino Dell'Attone,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,5,48-52,Sagrantino 100%,Spezzatino di manzo,95,5,95,nd,nd,,,Rosso fermo,Red Wine,15,1,-,-,-,"Rosso rubino con bagliori granato. Elegante il bouquet, amarene, visciole violetta, tosa e peonia, atricchito da toni di pepe, tadice di iguirizia, alloro ed eucalipto. In bocca la freschezza tempe  da un tannino di fine fattura. Impeccabile a progressione finale.  ra la Uraccia calorica, corredata  ",,Italy,,,
1,0006044-1,3.32,18,19,0.37,13,,,,,,,,,4,,,,Montefalco Sagrantino Molino Dell'Attone,DOCG,Montefalco Sagrantino,Antonelli San Marco,Umbria,3★-5★,48-52,Sagrantino 100%,Spezzatino di manzo,90.5,3★-5★,90.5,nd,nd,,,Rosso fermo,Red Wine,15,1k,-,-,-,,,Italy,,,
2,5986,,,,,,,,,,,,,,,2017,2012,,Montefalco Sagrantino 25 Anni,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,5,48-52,Sagrantino 100%,Filetto alla Rossini,93,5,93,nd,nd,,,Rosso fermo,Red Wine,14.5,40,24,botte piccola,small oak,"Splendido rosso rubino compatto.  Al naso è un susseguirsi di profumi intensi di prugne in confettura, succo di amarene, fiori macerati, che si alternano con liquirizia, macis e chiodi di garofano; in un secondo momento emergono note di gianduia, pepe di Sichuan ed erbe aromatiche dal timbro balsamico. L'assaggio conferma un tannino di  gran classe dalla trama ineccepibile, perfettamente fuso nella struttura, che alterna morbidezza e calore su una  scia fresco-sapida. Chiude l'armonia d'insieme una persistenza interminabile. Doppio passaggio in barrique nuove per 24 mesi ",,Italy,,,
2,5986,,,,,,,,,,,,,,,2018,2013,,Montefalco Sagrantino 25 Anni,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,5,48-52,Sagrantino 100%,Filetto di cervo all'aceto balsamico,95,5,95,nd,nd,,,Rosso fermo,Red Wine,14.5,40,24,botte piccola,small oak,"Il colore rosso rubino impenetrabile  è preludio di opulenza e profondità gustativa. In successione emergono intriganti profumi di prugna, succo  di visciola, fragola e mora, che si intrecciano a cannella, liquirizia dolce  e legno di cedro; più lentamente si affacciano ricordi di china, eucalipto, carbone e grafite, in un quadro che attrae per la continua evoluzione  Al palato conferma pari bontà ed eccellenza. Il sorso è succoso, preciso nella trama tannica, che offre appoggio alla ricca struttura e mitiga l'avvolgenza calorica; si sviluppa grazie al nerbo sapido e si allunga in una profonda persistenza dai rimandi fruttati. Doppio passaggio in barrique nuove per 24 mesi ",,Italy,,,
2,5986,,,,,,,,,,,,,,,2019,2014,,Montefalco Sagrantino 25 Anni,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,5,48-52,Sagrantino 100%,Braciole di agnello al tartufo,94,5,94,nd,nd,,,Rosso fermo,Red Wine,14.5,40,24,botte piccola,small oak,"Da un andamento stagionale decisamente complicato arriva un 25 Anni che strappa applausi. Scuro nel tono rubino con netti guizzi luminosi Atmosfera odorosa raffinata; la parata dei profumi si apre con more e mirtilli che giocano con tabacco dolce, polvere di cacao e cannella. Segue un'eco boschiva con alloro, bacche di ginepro, prugne selvatiche, che anticipano suggestioni di mirto, rosmarino e fieno secco; in lontananza si affacciano richiami di rosa essiccata, inchiostro  e cenere. Assaggio di grande carisma  e compostezza; densità calorica e freschezza in secondo piano rispetto alla frazione tannica ricca e levigata. Il sorso scorre con perfette proporzioni, svelando un'interminabile persistenza. In barrique nuove per 24 mesi ",,Italy,,,
2,5986,,,,,,,,,,,,,,,2020,2015,,Montefalco Sagrantino 25 Anni,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,5,48-52,Sagrantino 100%,Sella di cervo con castagne pere e broccoli,93,5,93,nd,nd,,,Rosso fermo,Red Wine,14.5,40,24,botte piccola,small oak,"Manto rubino e orlo leggermente granato; profondo e concentrato. In raffinata sequenza si alternano mora  di rovo, ciliegia, caramella alla liquirizia, legno di cedro, rosa canina, aghi di pino, eucalipto, un refolo di humus e pepe di Sichuan, su un sottofondo di inchiostro e grafite. Gusto austero e nobile, volume estrattivo e impianto tannico sontuoso giocano alla pari; fondamentale è la nitida freschezza, che alleggerisce l'assaggio; nelle battute finali si ritrova una gustosa sapidità che caratterizza  la granitica persistenza; in chiusura si conferma un cenno speziato. Sosta per ’ anni in barrici e ",,Italy,,,
2,5986,,,,,,,,,,,,,,,2022,2016,,Montefalco Sagrantino 25 Anni,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,5,48-52,Sagrantino 100%,Medaglioni di maiale ai mirtilli,95,5,95,nd,nd,,,Rosso fermo,Red Wine,14.5,40,24,botte piccola,small oak,"Rubino impenetrabile. Sofisticato racconto odoroso con con- fettura di amarena e gelatina di mirtillo che si associano a chiodi di garofano e cannella, erbe officinali, tabacco e caf- fè. Monumentale al palato: trama tannica impeccabile, volume avvolgente e una spiccata ricchezza di aromi. ",,Italy,,,
2,5986,,,,,,,,,,,,,,,2023,2018,,Montefalco Sagrantino 25 Anni,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,5,50-54,Sagrantino 100%,Piccione ai porcini e tartufo,94,5,94,nd,nd,,,Rosso fermo,Red Wine,15.5,20,24,botte piccola,small oak,"Profondo e luminoso rubino. Bouquet superbo, segnato dallalternarsi di more, mititli e visciole, soffi di eucalipto, alloro e china con iL contrappunto di dolci speziature. Solido e dinamico, tannini di gran fattura e freschezza allungano il persistente appagamento. ",,Italy,,,
1,0005986-1,17.89,1,100,1.92,67,,,,,,,,,5,,,,Montefalco Sagrantino 25 Anni,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,5★,50-54,Sagrantino 100%,Filetto alla Rossini – Filetto di cervo all'aceto balsamico – Braciole di agnello al tartufo – Sella di cervo con castagne pere e broccoli – Medaglioni di maiale ai mirtilli – Piccione ai porcini e tartufo,94,5★,94,nd,nd,,,Rosso fermo,Red Wine,15.5,20k,24,botte piccola,small oak,,,Italy,,,
2,5996,,,,,,,,,,,,,,,2017,2012,,Montefalco Sagrantino Collepiano,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,4,25-29,Sagrantino 100%,Quaglie in salsa di more,89,4,89,nd,nd,,,Rosso fermo,Red Wine,14.5,80,22,botte piccola,small oak,"Luminoso rosso rubino. Propone deliziosi profumi di confettura di ciliegia, caramella alla fragola, spezie dolci, chiodi di garofano, gianduia  e un delicato richiamo al pot-pourri floreale. All'assaggio la succosa componente fruttata crea un perfetto sostegno per una componente tannica di pregevolissima fattura; le note di sapidità fuse al calore alcolico determinano uno scenario in perfetto equilibrio. Lunga persistenza con coerenti ritorni aromatici. In barrique nuove per 22 mesi. ",,Italy,,,
2,5996,,,,,,,,,,,,,,,2018,2013,,Montefalco Sagrantino Collepiano,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,4,22-26,Sagrantino 100%,Medaglioni di manzo con tartufo nero,90,4,90,nd,nd,,,Rosso fermo,Red Wine,14.5,80,22,botte piccola,small oak,"Manto rosso rubino compatto. Accattivante ventaglio di profumi incentrati su spezie e frutta; emergono in successione nuance di chiodi di garofano, cacao in polvere, macis, mora, confettura di visciola e gelatina di ribes, cui fanno da contrappunto bacche  di ginepro, alloro e humus. In bocca  si apprezzano la struttura e la decisa personalità, impeccabile nell'approccio tattile e nel dispiego aromatico; la presa sapida conferma un equilibrio ancora da scrivere ma al contempo ne determina una lunga persistenza. Sosta in barrique nuove per 22 mesi. ",,Italy,,,
2,5996,,,,,,,,,,,,,,,2019,2014,,Montefalco Sagrantino Collepiano,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,4,28-32,Sagrantino 100%,Piccione allo spiedo,89,4,89,nd,nd,,,Rosso fermo,Red Wine,14.5,80,22,botte piccola,small oak,"Rosso rubino molto scuro, compatto e impenetrabile. Profilo olfattivo intrigante, ben delineato tra frutto, erbe e spezie: mora di rovo, ciliegia nera, succo di melograno e rosa canina lasciano spazio a una scia silvestre, con ricordi di sottobosco, fogliame secco, humus, alloro e rosmarino. Rifiniscono il quadro cacao, caffè e liquirizia. All’assaggio coniuga sostanza e dinamismo, la componente calorica si appoggia a un tannino esemplare, e il finale si allunga sulla freschezza fruttata di ciliegia. Matura per 22 mesi in barrique ",,Italy,,,
2,5996,,,,,,,,,,,,,,,2020,2015,,Montefalco Sagrantino Collepiano,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,3,28-32,Sagrantino 100%,Filetto al tartufo nero,87,3,87,nd,nd,,,Rosso fermo,Red Wine,14.5,80,22,botte piccola,small oak,"Rubino pieno e concentrato. Profumi avvolgenti di stampo fruttato e speziato amarena, prugna e ribes nero si legano a cannella e chiodi di garofano; più lentamente si affacciano menta e fieno essiccato, con ricordi di tabacco chiaro, incenso e fiori macerati, delineando  un bouquet che acquisirà ancora più fascino con il passare del tempo. Il sorso si articola sulla netta dotazione calorica e su un tannino ben modellato; il ritmo è scandito dalla rinfrescante acidità, distesa su un finale di piena durata Matura per 22 mesi in barrique nuove. ",,Italy,,,
2,5996,,,,,,,,,,,,,,,2021,2016,,Montefalco Sagrantino Collepiano,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,4,28-32,Sagrantino 100%,Guancia brasata alle spezie,89,4,89,nd,nd,,,Rosso fermo,Red Wine,14.5,80,22,botte piccola,small oak,"Tonalità rubino dalla trama compatta. Il variegato ventaglio olfattivo spazia dalle sfumature di ribes nero, amarena e chinotto a quelle di polvere di caffè, cannella e grani di pepe, per poi assestarsi su tabacco biondo, ibisco e timo. L'approccio gustativo è sostenuto da una tessitura tannica serrata; la voce calorica e la massa estrattiva  ne stemperano la tenacia e aprono lo spazio al ritorno della freschezza che diluisce il sorso; il timbro fruttato e speziato arricchisce la lunga persistenza amaricante. Sosta in barrique per 22 mesi ",,Italy,,,
2,5996,,,,,,,,,,,,,,,2022,2017,,Montefalco Sagrantino Collepiano,DOCG,Montefalco Sagrantino,Arnaldo Caprai,Umbria,4,28-32,Sagrantino 100%,nd,90,4,90,nd,nd,,,Rosso fermo,Red Wine,14.5,80,22,botte piccola,small oak,,,Italy,,,
