Entry,0006643,OLDRS,RANK,RS,RAWQP,QP,RANK2,RS2,RAWQP,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0006629,,,,,,,,,,,,,,,2022,2020,Superiore,Vermentino Di Gallura Superiore Tenuta Matteu Solianu,DOCG,Vermentino Di Gallura,Andrea Ledda,Sardegna,4,23-27,Vermentino 100%,Scampi alla griglia,89,,89,,na,,,Bianco fermo,White Wine,13.5,20,9,acciaio,steel,"Paglierino luminoso dai riflessi verdolini. Freschi profumi di fiori di acacia, pesca bianca, salvia e rosmarino, con delicati cenni di pepe bianco e mineralità salmastra. Assaggio pieno, gustoso e vibrante, caratterizzato da una decisa trama salina e una bel- la progressione verso un finale balsamico. ",,Italy,,,
1,0006629-1,1.68,20,28,1.13,24,,,,,,,,,3.3,,,Superiore,Vermentino Di Gallura Superiore Tenuta Matteu Solianu,DOCG,Vermentino Di Gallura,Andrea Ledda,Sardegna,3★-4★,23-27,Vermentino 100%,Scampi alla griglia – Tartare di tonno rosso al lime e menta – Aragosta alla catalana,87.0,0★,87.0,nd,nd,,,Bianco fermo,White Wine,13.5,20k,9,acciaio,steel,,,Italy,,,
2,0006642,,,,,,,,,,,,,,,2023,2021,Superiore,Vermentino Di Gallura Superiore Crizia,DOCG,Vermentino Di Gallura,Atlantis,Sardegna,3,16-20,Vermentino 100%,Risotto con gamberi di fiume e piselli,86,,86,,na,,,Bianco fermo,White Wine,13.5,30,8,acciaio/botte media,steel/medium oak,,,Italy,,,
1,0006642-1,0.34,43,6,0.32,7,,,,,,,,,3.0,,,Superiore,Vermentino Di Gallura Superiore Crizia,DOCG,Vermentino Di Gallura,Atlantis,Sardegna,3★,16-20,Vermentino 100%,Risotto con gamberi di fiume e piselli,86.0,0★,86.0,nd,nd,,,Bianco fermo,White Wine,13.5,30k,8,acciaio/botte media,steel/medium oak,,,Italy,,,
2,0006614,,,,,,,,,,,,,,,2018,2016,,Vermentino Di Gallura Elibaria,DOCG,Vermentino Di Gallura,Attilio Contini,Sardegna,2,10-14,Vermentino 100%,nd,82,,82,,na,,,Bianco fermo,White Wine,13.5,10,6,acciaio,steel,,,Italy,,,
2,0006614,,,,,,,,,,,,,,,2020,2017,,Vermentino Di Gallura Elibaria,DOCG,Vermentino Di Gallura,Attilio Contini,Sardegna,2,9-13,Vermentino 100%,nd,82,,82,,na,,,Bianco fermo,White Wine,13.5,20,6,acciaio,steel,,,Italy,,,
2,0006614,,,,,,,,,,,,,,,2021,2018,,Vermentino Di Gallura Elibaria,DOCG,Vermentino Di Gallura,Attilio Contini,Sardegna,2,9-13,Vermentino 100%,nd,84,,84,,na,,,Bianco fermo,White Wine,13.5,15,6,acciaio,steel,,,Italy,,,
2,0006614,,,,,,,,,,,,,,,2023,2021,,Vermentino Di Gallura Elibaria,DOCG,Vermentino Di Gallura,Attilio Contini,Sardegna,3,8-12,Vermentino 100%,San Pietro all'isolana,85,,85,,na,,,Bianco fermo,White Wine,13.5,35,6,acciaio,steel,,,Italy,,,
1,0006614-1,0.69,34,11,1.15,25,,,,,,,,,2.3,,,,Vermentino Di Gallura Elibaria,DOCG,Vermentino Di Gallura,Attilio Contini,Sardegna,2★-3★,8-12,Vermentino 100%,San Pietro all'isolana,83.3,0★,83.3,nd,nd,,,Bianco fermo,White Wine,13.5,35k,6,acciaio,steel,,,Italy,,,
2,0006581,,,,,,,,,,,,,,,2017,2015,,Vermentino Di Gallura Funtanaliras Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,2,7-11,Vermentino 100%,Fregula sarda ai crostacei,84,,84,,na,,,Bianco fermo,White Wine,13,750,-,acciaio,steel,"Paglierino vivo. Ingresso floreale digelsomino e camomilla, poi corredobalsamico di erbe aromatiche, origanofresco, maggiorana e timo seguiti damuschio bianco ed erbe di campo.Pesca bianca, pera kaiser, ananas e unalieve tostatura arricchiscono il naso.Gusto pieno e deciso con voluttuosamorbidezza sostenuta da freschezzaprorompente. Solo acciaio.",,Italy,,,
2,0006581,,,,,,,,,,,,,,,2018,2016,,Vermentino Di Gallura Funtanaliras Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,8-12,Vermentino 100%,Risotto agli scampi,85,,85,,na,,,Bianco fermo,White Wine,13,750,-,acciaio,steel,"Luminosa veste giallo paglierino.Rimandi fruttati e floreali regalanoun accordo olfattivo di bella armonia.susina gialla, pesca tabacchiera,pompelmo rosa, melone e fiori d'acaciasi dispongono su un pentagramma riccoe succoso, che sfuma su una frescascia iodato-salmastra. L'assaggio incedespiccatamente fruttato, ma il sorso èdominato da una freschissima sapiditàin perfetto equilibrio con le componentimorbide; persistenza senza cedimentiSolo acciaio",,Italy,,,
2,0006581,,,,,,,,,,,,,,,2019,2017,,Vermentino Di Gallura Funtanaliras Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,2,9-13,Vermentino 100%,nd,84,,84,,na,,,Bianco fermo,White Wine,13,750,-,acciaio,steel,,,Italy,,,
2,0006581,,,,,,,,,,,,,,,2020,2018,,Vermentino Di Gallura Funtanaliras Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,9-13,Vermentino 100%,Minestra di arzilla,85,,85,,na,,,Bianco fermo,White Wine,13,750,-,acciaio,steel,"Fulgido paglierino. Decise fragranze di susina, pesca saturnina e mandarino si intrecciano con accenni vegetali di timo limone e maggiorana, per sfumare su toni minerali. Il gusto è valorizzato dal corredo fresco-sapido, che conferisce l'impronta alla beva, cui non fa difetto  la morbidezza; sorso dinamico e dissetante, dalla persistenza agrumata. Vinificato in acciaio. ",,Italy,,,
2,0006581,,,,,,,,,,,,,,,2022,2020,,Vermentino Di Gallura Funtanaliras Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,11-15,Vermentino 100%,nd,86,,86,,na,,,Bianco fermo,White Wine,13,750,-,acciaio,steel,,,Italy,,,
2,0006581,,,,,,,,,,,,,,,2023,2021,,Vermentino Di Gallura Funtanaliras Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,12-16,Vermentino 100%,Trenette al pesto,86,,86,,na,,,Bianco fermo,White Wine,13,750,-,acciaio,steel,,,Italy,,,
1,0006581-1,1.59,22,27,1.90,41,,,,,,,,,2.7,,,,Vermentino Di Gallura Funtanaliras Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,2★-3★,12-16,Vermentino 100%,Fregula sarda ai crostacei – Risotto agli scampi – Minestra di arzilla – Trenette al pesto,85.0,0★,85.0,nd,nd,,,Bianco fermo,White Wine,13,750k,-,acciaio,steel,,,Italy,,,
2,0006615,,,,,,,,,,,,,,,2018,2016,,Vermentino Di Gallura S'Eleme Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,2,4-8,Vermentino 100%,nd,82,,82,,na,,,Bianco fermo,White Wine,12.5,500,8,acciaio,steel,,,Italy,,,
2,0006615,,,,,,,,,,,,,,,2019,2017,,Vermentino Di Gallura S'Eleme Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,2,5-9,Vermentino 100%,nd,84,,84,,na,,,Bianco fermo,White Wine,12.5,500,8,acciaio,steel,,,Italy,,,
2,0006615,,,,,,,,,,,,,,,2020,2018,,Vermentino Di Gallura S'Eleme Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,5-9,Vermentino 100%,nd,85,,85,,na,,,Bianco fermo,White Wine,12.5,500,8,acciaio,steel,,,Italy,,,
1,0006615-1,0.57,40,10,1.37,29,,,,,,,,,2.3,,,,Vermentino Di Gallura S'Eleme Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,2★-3★,5-9,Vermentino 100%,nd,83.7,0★,83.7,nd,nd,,,Bianco fermo,White Wine,12.5,500k,8,acciaio,steel,,,Italy,,,
2,0006589,,,,,,,,,,,,,,,2017,2015,Superiore,Vermentino Di Gallura Superiore Aghiloja Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,6-10,Vermentino 100%,Culurgiones ogliastrini alle erbe,86,,86,,na,,,Bianco fermo,White Wine,14,250,-,acciaio,steel,Paglierino impreziosito da riflessi verdeoro. Conquista l'olfatto con un riccopalinsesto di profumi fini: netti frutticitrini di pompelmo e lime seguiti damela croccante e pesca bianca; sciaesotica di banana accompagnata dapiccoli fiori bianchi e mentuccia. Chiudecon eleganti sbuffi minerali. Freschezzaben espressa e gradevole sapiditàconfermano l’accattivante intreccio diprofumi. Sorso appagante che chiudepolposo e opulento. Acciaio.,,Italy,,,
2,0006589,,,,,,,,,,,,,,,2018,2016,Superiore,Vermentino Di Gallura Superiore Aghiloja Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,7-11,Vermentino 100%,Zuppa di cozze,86,,86,,na,,,Bianco fermo,White Wine,14,250,-,acciaio,steel,"Paglierino con venature verdoline. Apresu soffusi ricordi di erica e acacia checol movimento del calice cedono ilpasso a un'impronta più marcatamentevarietale, composta da sensazioniagrumate, cedro, pesca bianca, insiemea lievi richiami vegetali di salvia ementuccia. Beva estroversa, in lineacon l'olfatto e segnata da un corredoacido-sapido in brillante evidenza maben proporzionato; finale dagli aromi dimandorla fresca. Acciaio.",,Italy,,,
2,0006589,,,,,,,,,,,,,,,2019,2017,Superiore,Vermentino Di Gallura Superiore Aghiloja Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,8-12,Vermentino 100%,Bavette al sugo d'astice,86,,86,,na,,,Bianco fermo,White Wine,14,250,-,acciaio,steel,"Paglierino luminoso. Pesche bianche  e mandorle fresche si fanno strada  tra richiami agrumati e accenni  di salvia e mirto. Un continuum di coerenza gustativa lascia emergere  un dominante corredo di freschezza e guizzante sapidità, che esalta i richiami ammandorlati. Solo acciaio. ",,Italy,,,
2,0006589,,,,,,,,,,,,,,,2020,2018,Superiore,Vermentino Di Gallura Superiore Aghiloja Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,8-12,Vermentino 100%,nd,86,,86,,na,,,Bianco fermo,White Wine,14,250,-,acciaio,steel,,,Italy,,,
2,0006589,,,,,,,,,,,,,,,2022,2020,Superiore,Vermentino Di Gallura Superiore Aghiloja Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,9-13,Vermentino 100%,nd,86,,86,,na,,,Bianco fermo,White Wine,14,200,-,acciaio,steel,,,Italy,,,
2,0006589,,,,,,,,,,,,,,,2023,2021,Superiore,Vermentino Di Gallura Superiore Aghiloja Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,10-14,Vermentino 100%,Risotto all'isolana,86,,86,,na,,,Bianco fermo,White Wine,13.5,200,-,acciaio,steel,,,Italy,,,
1,0006589-1,2.03,12,34,2.84,61,,,,,,,,,3.0,,,Superiore,Vermentino Di Gallura Superiore Aghiloja Oro,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3★,10-14,Vermentino 100%,Culurgiones ogliastrini alle erbe – Zuppa di cozze – Bavette al sugo d'astice – Risotto all'isolana,86.0,0★,86.0,nd,nd,,,Bianco fermo,White Wine,13.5,200k,-,acciaio,steel,,,Italy,,,
2,0006641,,,,,,,,,,,,,,,2023,2020,Superiore,Vermentino Di Gallura Superiore Clos,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,4,28-32,Vermentino 100%,Spiedo di seppioline ai ferri,89,,89,,na,,,Bianco fermo,White Wine,14,6,-,-,-,Luminoso paglierino. Pompelmo e clementine s'intrecciano a fi di tiglio mandorle e zagste. Assaggio Uneste e corpo sostenuto da un perfelto bilanciamento tra ricchezz glicerica e freschezza; la scia sapida che incede appage l gusto e valorizza il raffinato finale tropicale.  ,,Italy,,,
1,0006641-1,1.00,30,17,0.56,12,,,,,,,,,4.0,,,Superiore,Vermentino Di Gallura Superiore Clos,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,4★,28-32,Vermentino 100%,Spiedo di seppioline ai ferri,89.0,0★,89.0,nd,nd,,,Bianco fermo,White Wine,14,6k,-,-,-,,,Italy,,,
2,0006617,,,,,,,,,,,,,,,2018,2015,Superiore,Vermentino Di Gallura Vendemmia Tardiva Arakena,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,16-20,Vermentino 100%,Calamarata ai frutti di mare,86,,86,,na,,,Bianco fermo,White Wine,13.5,40,5,botte media,medium oak,"Paglierino smagliante con riflessidorati. Naso inizialmente sottile,giocato tra profumi di gelsomino edessenze aromatiche, basilico e timo;col tempo le sfumature si amplificanoe si impreziosiscono, regalandonote di lievito, pesca bianca e melarenetta, per poi sfilare su ricordi dizenzero, vaniglia e cenni minerali.Attacco gustativo di grande eleganza,in dinamica contrapposizione fra lecarezze gliceriche e le sferzate sapide;continui richiami di fruttata freschezzaaccompagnano il lungo finale. Riposa intonneau di rovere per 5 mesi",,Italy,,,
2,0006617,,,,,,,,,,,,,,,2019,2016,Vendemmia Tardiva,Vermentino Di Gallura Vendemmia Tardiva Arakena,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3,18-22,Vermentino 100%,Pesce spada alla messinese,86,,86,,na,,,Bianco fermo,White Wine,13.5,40,5,botte media,medium oak,"Paglierino brillante di dorata  lucentezza. La trama odorosa si  snoda su nuance agrumate che introducono pesche, nespole, vaniglia  e pompelmo rosa; elicriso e timo si rincorrono su un orizzonte iodato e minerale. Sorso dinamico, in cui si coglie la consistente morbidezza, ben distribuita nella componente alcolica  e glicerica. Il connubio di freschezza e sapidità completa la tensione gustativa, con una lunga progressione. Sosta per 5 mesi in tonneau di rovere ",,Italy,,,
2,0006617,,,,,,,,,,,,,,,2020,2017,Vendemmia Tardiva,Vermentino Di Gallura Vendemmia Tardiva Arakena,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,4,20-24,Vermentino 100%,Zuppa fagioli e cozze,89,,89,,na,,,Bianco fermo,White Wine,14,35,5,botte media,medium oak,"Paglierino intenso dai riflessi dorati. Bouquet di gran classe, in cui si rincorrono pesca, albicocca e zenzero disidratati, zeste di agrumi, foglia di tè e richiami iodati; nel finale pan brioche e soffusa tostatura. Esordio al gusto da primo attore, con entrata di piena consistenza e immediata morbidezza, frutto di una dotazione calorica e glicerica di rilievo; equilibrio garantito da un puntello di freschezza e sapidità ben bilanciate; chiusura persistente che si distende in una trama fruttata e speziata. Matura per 5 mesi in tonneau ",,Italy,,,
2,0006617,,,,,,,,,,,,,,,2022,2019,Vendemmia Tardiva,Vermentino Di Gallura Vendemmia Tardiva Arakena,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,4,22-26,Vermentino 100%,Paella,90,,90,,na,,,Bianco fermo,White Wine,13.5,40,5,botte media,medium oak,"Luminoso giallo dorato. Esordisce intenso su note fruttate di arancia, ananas e melone bianco; regala poi eleganti sentori speziati, anice stellato, elicriso e sfumature minerali. Assaggio composito e avvolgente esaltato da una fresca sapidità marina, che abbraccia tutte le componenti; epilogo lungo e godibile.",,Italy,,,
2,0006617,,,,,,,,,,,,,,,2023,2020,Vendemmia Tardiva,Vermentino Di Gallura Vendemmia Tardiva Arakena,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,4,23-27,Vermentino 100%,Cacciucco alla livornese,89,,89,,na,,,Bianco fermo,White Wine,13.5,40,5,botte media,medium oak,"Paglierino dorato. Susina, cedro e salvia gioc iodati. Al gusto presenta una complessità prodiga di morbidezze, rilanciate da treschezza e sapidità, in un perfetto bilanciamento di sensazioni spartito d'impeccabile coerenza, con esotiche suggestioni in chiusura.  o con fichi e canditi; poi echi  ",,Italy,,,
1,0006617-1,3.68,4,62,2.47,53,,,,,,,,,3.6,,,Vendemmia Tardiva,Vermentino Di Gallura Vendemmia Tardiva Arakena,DOCG,Vermentino Di Gallura,Cantina Del Vermentino Monti,Sardegna,3★-4★,23-27,Vermentino 100%,Calamarata ai frutti di mare – Pesce spada alla messinese – Zuppa fagioli e cozze – Paella – Cacciucco alla livornese,88.0,0★,88.0,nd,nd,,,Bianco fermo,White Wine,13.5,40k,5,botte media,medium oak,,,Italy,,,
2,0006593,,,,,,,,,,,,,,,2017,2015,Superiore,Vermentino Di Gallura Superiore Cucaione,DOCG,Vermentino Di Gallura,Cantina Delle Vigne Piero Mancini,Sardegna,3,5-9,Vermentino 100%,Spiedini di cozze fritte,85,,85,,na,,,Bianco fermo,White Wine,13,500,5,acciaio,steel,"Paglierino luminoso. Freschissimoesordio di susina gialla e ananas,arricchito da fiori di ginestra, salviae cenni iodati. Scattante, vivido diacidità e suggestioni saline, appenatrattenute dalla quota delle morbidezze.Persistenza di tutto rispetto per un sorsoimprontato alla piacevolezza. In acciaiosui lieviti per 5 mesi",,Italy,,,
2,0006593,,,,,,,,,,,,,,,2018,2016,Superiore,Vermentino Di Gallura Superiore Cucaione,DOCG,Vermentino Di Gallura,Cantina Delle Vigne Piero Mancini,Sardegna,2,5-9,Vermentino 100%,Gallinella all'acqua pazza,84,,84,,na,,,Bianco fermo,White Wine,13,500,5,acciaio,steel,"Cromie paglierino con evidenzeverdoline. A calice fermo profumadi biancospino, acacia e gelsomino;il respiro poi si distende su freschepercezioni di scorza di cedro, uvaspina, mela annurca e si attarda surefoli salmastri, appena mentolatiMostra al palato una struttura moltoben bilanciata, segnata da un corredoacidico ricco e dinamico, arginato dallaquota glicerica; elegante epilogo su tonidi mandorla amara. Solo acciaio, conpermanenza sui lieviti per 5 mesi",,Italy,,,
2,0006593,,,,,,,,,,,,,,,2019,2017,Superiore,Vermentino Di Gallura Superiore Cucaione,DOCG,Vermentino Di Gallura,Cantina Delle Vigne Piero Mancini,Sardegna,2,7-11,Vermentino 100%,Spaghetti ai cannolicchi,84,,84,,na,,,Bianco fermo,White Wine,13,500,5,acciaio,steel,"Paglierino con riflessi verdolini. Olfatto centrato su riconoscimenti di melone bianco, ananas e ginestra, ai quali  si aggiungono suggestioni di erbe aromatiche: melissa e basilico. Esordio gustativo morbido, corroborato da una freschezza agrumata che sìi riprende  la scena, allungandosi sul finale. Solo aCCIAalO ",,Italy,,,
2,0006593,,,,,,,,,,,,,,,2020,2018,Superiore,Vermentino Di Gallura Superiore Cucaione,DOCG,Vermentino Di Gallura,Cantina Delle Vigne Piero Mancini,Sardegna,3,7-11,Vermentino 100%,Linguine alle vongole,85,,85,,na,,,Bianco fermo,White Wine,13,500,5,acciaio,steel,"Tenue e lucente paglierino. Si apre  con freschi toni agrumati di kKumquat  e floreali di zagara, seguiti da timo e foglia di mirto, con un sottofondo di mineralità a sostegno. Ingresso tagliente di sferzante freschezza che colloca  il sorso in dinamico equilibrio con le sinuose morbidezze, regalando una sintesi di sicura gradevolezza; costante il richiamo agrumato nella lunga chiusura In acciaio per 5 mesi sui lieviti ",,Italy,,,
2,0006593,,,,,,,,,,,,,,,2021,2019,Superiore,Vermentino Di Gallura Superiore Cucaione,DOCG,Vermentino Di Gallura,Cantina Delle Vigne Piero Mancini,Sardegna,3,7-11,Vermentino 100%,Insalata tiepida di mare,86,,86,,na,,,Bianco fermo,White Wine,13,500,5,acciaio,steel,"Paglierino lucente dai riflessi verdolini Bouquet intenso e giovanile declinato su freschi toni di erbe aromatiche,  con timo e salvia in evidenza, tratti agrumati e susina gialla; appaiono in seguito suadenti cenni di fieno e fiori di campo e una delicata vena salmastro- iodata. Palato generoso e vibrante per netta freschezza e sapidità marina; si mantiene in equilibrio grazie al giusto apporto calorico e glicerico. l finale ripropone echi agrumati e un piacevole tono amaricante che rende agile la beva Solo acciaio per 5 mesi, sui lieviti ",,Italy,,,
2,0006593,,,,,,,,,,,,,,,2022,2020,Superiore,Vermentino Di Gallura Superiore Cucaione,DOCG,Vermentino Di Gallura,Cantina Delle Vigne Piero Mancini,Sardegna,3,5-9,Vermentino 100%,nd,86,,86,,na,,,Bianco fermo,White Wine,13,500,5,acciaio,steel,,,Italy,,,
1,0006593-1,1.59,22,27,3.80,81,,,,,,,,,2.7,,,Superiore,Vermentino Di Gallura Superiore Cucaione,DOCG,Vermentino Di Gallura,Cantina Delle Vigne Piero Mancini,Sardegna,2★-3★,5-9,Vermentino 100%,Spiedini di cozze fritte – Gallinella all'acqua pazza – Spaghetti ai cannolicchi – Linguine alle vongole – Insalata tiepida di mare – ,85.0,0★,85.0,nd,nd,,,Bianco fermo,White Wine,13,500k,5,acciaio,steel,,,Italy,,,
2,0006596,,,,,,,,,,,,,,,2017,2015,Superiore,Vermentino Di Gallura Superiore Mancini Primo,DOCG,Vermentino Di Gallura,Cantina Delle Vigne Piero Mancini,Sardegna,2,14-18,Vermentino 100%,Pernice lessa in salsa verde,84,,84,,na,,,Bianco fermo,White Wine,13.5,20,12,acciaio/botte grande,steel/big oak,"Dorato luminoso. Profuma di ananas,viole bianche e camelie su eco marinae rocciosa. Coerente l'assaggio, che sidipana tra frutti esotici e spigolaturesaline in un sorso accattivante e fresco,sfumando lentamente su note minerali edi menta selvatica. Un anno tra acciaio elegno grande",,Italy,,,
