Entry,0006193,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0001544,,,,,,,,,,,,2018,2015,Superiore,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,5-9,Sangiovese 100%,nd,85,,85,,na,,,Rosso fermo,Red Wine,12.5,7,10,cemento,concrete,,,Italy,,,
2,0001544,,,,,,,,,,,,2019,2016,Superiore,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,5-9,Sangiovese 100%,nd,86,,86,,na,,,Rosso fermo,Red Wine,13.5,7,10,cemento,concrete,,,Italy,,,
2,0001544,,,,,,,,,,,,2020,2017,Superiore,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,2,10-14,Sangiovese 100%,nd,84,,84,,na,,,Rosso fermo,Red Wine,13.5,7,10,cemento,concrete,,,Italy,,,
2,0001544,,,,,,,,,,,,2021,2018,Superiore,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,10-14,Sangiovese 100%,Tagliatelle al ragù di salsiccia,86,,86,,na,,,Rosso fermo,Red Wine,13.5,7,10,cemento,concrete,"l Rubino dai riflessi luminosi e granato. Incipit fruttato, con rimandi alle ciliegie e alle prugne, insieme a toni più profondi di viole essiccate e liquirizia. Struttura dinamica, dal sorso gradevolmente fresco, con tannini ben integrati. Finale persistente su sensazioni floreali e speziate. Matura per 10 mesi in cemento ",,Italy,,,
2,0001544,,,,,,,,,,,,2022,2019,Superiore,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,10-14,Sangiovese 100%,nd,86,,86,,na,,,Rosso fermo,Red Wine,12.5,7,2,acciaio,steel,,,Italy,,,
2,0001544,,,,,,,,,,,,2023,2020,Superiore,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,12-16,Sangiovese 100%,Guanciale di vitello in umido,86,,88,,na,,,Rosso fermo,Red Wine,12.5,7,2,acciaio,steel,,,Italy,,,
1,0001544-1,1.82,13,0.91,18,,,,,,,2.9,,,Superiore,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,2★-3★,12-16,Sangiovese 100%,Tagliatelle al ragù di salsiccia – Guanciale di vitello in umido,85.4,0★,85.7,nd,nd,,,Rosso fermo,Red Wine,12.5,7k,2,acciaio,steel,,,Italy,,,
2,0001546,,,,,,,,,,,,2017,2013,Modigliana – Riserva,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,4,10-14,Sangiovese 100%,Spalla di agnello al forno,89,,89,,na,,,Rosso fermo,Red Wine,13,8,6+18,acciaio+botte,steel+oak,"Rosso rubino luminoso. Vino dall'ampio bouquet con profumi articolati e complessi di frutti di bosco, caffè appena tostato, pepe bianco e bastoncino di liquirizia, seguiti da note vegetali e minerali. All'assaggio è un vero modello di estrazione calibrata, con tannini eleganti e profondi, già perfettamente integrati. Dinamico e coinvolgente, presenta un finale fruttato di rinfrescante impronta. Fermenta in acciaio, riposa in botticelle da 350 litri di 2° e 3° passaggio per 16 mesi, e affina per altri 8 in bottiglia ",,Italy,,,
2,0001546,,,,,,,,,,,,2018,2014,Modigliana – Riserva,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,Stinco al forno con ananas e porri,85,,85,,na,,,Rosso fermo,Red Wine,13,6,6+18,acciaio+botte,steel+oak,"Rubino intenso dalla luminosità vivace. Elegante complessità aromatica di frutti di bosco, marasche, rose, eucalipto  e grafite. Ingresso al palato fresco e dinamico, dote che esalta l’espressione del frutto, in sinergia con un tannino svolto e ben integrato. Finale armonico, di lunga persistenza e dal finale balsamico. Fermentazione spontanea, maturazione in acciaio per 6 mesi e in legno per 18 mesi, affina poi in bottiglia per 4 mesi ",,Italy,,,
2,0001546,,,,,,,,,,,,2019,2015,Modigliana – Riserva,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,Stufato di manzo,85,,85,,na,,,Rosso fermo,Red Wine,13,8,24,botte,oak,"Rosso rubino luminoso e profondo. Profuma di frutti rossi, scorza di arancia candita, speziature e una gradevole terrosità. L’assaggio si rivela subito morbido, bilanciato da sensazioni fresche e sapide, integrate da un tannino di ottima qualità. Persistenza agrumata coadiuvata da un retrogusto piccante. Fermenta in acciaio, poi matura in botte per 24 mesi e affina per altri 12 in bottialia ",,Italy,,,
2,0001546,,,,,,,,,,,,2020,2016,Modigliana – Riserva,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,Piccione laccato all'arancia,86,,86,,na,,,Rosso fermo,Red Wine,13,5,24,botte,oak,"Rosso rubino. Bouquet odoroso intrigante, composto da piccoli frutti rossi, arancia, chinotto e delicati  refoli speziati. Un quadro di assaggio decisamente di classe, con freschezza profonda e una dotazione tannica raffinata; il finale lascia emergere, insieme all'integrità del frutto, suggestioni agrumate. Fermentazione in acciaio, maturazione in legni di Allier per 24 mesi, poi un anno in bottiglia. ",,Italy,,,
2,0001546,,,,,,,,,,,,2021,2017,Modigliana – Riserva,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,Ossobuco in gremolada,86,,86,,na,,,Rosso fermo,Red Wine,13,6,24,botte,oak,"Veste rubino lucente. Si apre al naso con delicate nuance di mirtillo in confettura, cenni di cannella, poi garofano e viola  Il sorso evidenzia un tannino ancora esuberante, sostenuto da buona freschezza. Lunga chiusura su ritorni di amarena e curcuma. Riposa in rovere per 24 mesi e affina un anno in bottiglia. ",,Italy,,,
2,0001546,,,,,,,,,,,,2022,2018,Modigliana – Riserva,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,Piccione ripieno al cartoccio,88,,88,,na,,,Rosso fermo,Red Wine,13.5,5,24,botte,oak,"Rosso rubino. Spettro olfattivo raffinato con ricordi nitidi di ma- rasca e viola, accompagnati da delicate spezie dolci. Il palato è ricco e voluttuoso, con tannino vellutato e a grana fine. La fre- schezza amplifica la beva vibrante e sapida, e allunga la chiosa fruttata e saporita. ",,Italy,,,
2,0001546,,,,,,,,,,,,2023,2019,Modigliana – Riserva,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,Manzo brasato con funghi,88,,86,,na,,,Rosso fermo,Red Wine,13.5,5,24,botte,oak,"Splendido rosso rubino dai toni vivaci, Quadro odoroso ben definito, fna  rossa, ciliegla e mora pol un susseguitsi di fiori appena sbocciati,rose ros  e violette, Assaggio brioso, con sapori fruttati Incalzati dal tannini e da una gradevole freschezza. SI congeda su cenni balsamici.  ",,Italy,,,
1,0001546-1,3.03,21,1.25,24,,,,,,,3.1,,,Modigliana – Riserva,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3★-4★,15-19,Sangiovese 100%,Stinco al forno con ananas e porri – Stufato di manzo – Piccione laccato all'arancia – Ossobuco in gremolada – Piccione ripieno al cartoccio – Manzo brasato con funghi,86.7,0★,86.4,nd,nd,,,Rosso fermo,Red Wine,13.5,5k,24,botte,oak,,,Italy,,,
2,0001547,,,,,,,,,,,,2017,2015,Modigliana – Riserva,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,2,10-14,Sangiovese 100%,Spiedone romagnolo,83,,83,,na,,,Rosso fermo,Red Wine,12.5,20,6,acciaio,steel,"Rosso rubino di media concentrazione. Profumi limpidi e nitidi nell'esposizione di un corredo fruttato di ciliegia e fragola. Garbata l'intensità dell'apporto floreale. Stimolante e succulento  in bocca, con un tannino giovane e vibrante. Nel finale sfuma ancora su note fresche e corroboranti di frutta rossa. Vinificato in acciaio con uso di soli lieviti indigeni. Affina per 6 mesi in bottiglia ",,Italy,,,
2,0001547,,,,,,,,,,,,2018,2016,Modigliana – Riserva,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,2,10-14,Sangiovese 100%,Pasta e fagioli con le cotiche,84,,84,,na,,,Rosso fermo,Red Wine,12.5,20,6,acciaio,steel,"Rubino intenso. Approccio aromatico floreale: viola e geranio, su uno sfondo appena vegetale, cui segue una nota  di ribes. In bocca si esprime con forza, notevole freschezza acida e tannini incisivi. Conclude con fraseggi minerali Fermentazione spontanea in acciaio, dove matura per 6 mesi con sosta sui lieviti per 3; in bottiglia per altri 6 mesi ",,Italy,,,
2,0001547,,,,,,,,,,,,2019,2017,Modigliana – Riserva,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,2,10-14,Sangiovese 100%,Parmigiana di melanzane,84,,84,,na,,,Rosso fermo,Red Wine,12.5,20,6,acciaio,steel,"Rosso porpora cupo. Fine e intenso al naso: ciliegia, prugna, mora e leggeri cenni vegetali. Al palato coniuga una discreta avvolgenza fruttata con una diffusa freschezza, mantenendo in risalto il suo profilo tannico, decisamente giovane. La beva è scorrevole, con echi di erbe aromatiche in chiusura. Vinificato in acciaio, affina per 6 mesi in bottiglia ",,Italy,,,
2,0001547,,,,,,,,,,,,2020,2018,Modigliana – Riserva,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,10-14,Sangiovese 100%,Spiedone alla toscana,86,,86,,na,,,Rosso fermo,Red Wine,12.5,25,6,acciaio,steel,"Rosso rubino con vivaci riflessi porpora. Al naso esprime tutti i caratteri giovanili che il colore preannuncia, con profumi di frutta rossa fragrante, violetta e pepe bianco. Il sorso è fresco e dissetante grazie al tannino e all'acidità vivaci; coinvolgente, con una chiusura di bocca saporita, dai rimandi di frutta, in perfetta sintonia con la parte olfattiva. Fermenta in acciaio, dove riposa per 6 mesi ",,Italy,,,
2,0001547,,,,,,,,,,,,2021,2019,Modigliana – Riserva,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,10-14,Sangiovese 100%,Maccheroncini al ragù di cortile,87,,87,,na,,,Rosso fermo,Red Wine,12.5,15,6,acciaio,steel,"Rubino vivace. Profumi orientati  su ciliegia, mora di gelso e ibisco, accompagnati da sbuffi di cannella In bocca dimostra buona intensità e pienezza, arricchito da una piacevole verve fresca e un tannino giovane e scalpitante che amplifica il frutto nel finale. Sosta per 6 mesi in acciaio ",,Italy,,,
2,0001547,,,,,,,,,,,,2022,2020,Modigliana – Riserva,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,10-14,Sangiovese 100%,nd,88,,88,,na,,,Rosso fermo,Red Wine,12.5,20,6,acciaio,steel,,,Italy,,,
2,0001547,,,,,,,,,,,,2023,2021,Modigliana – Riserva,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,8-12,Sangiovese 100%,Pappardelle con sugo di lepre,88,,84,,na,,,Rosso fermo,Red Wine,13,20,6,acciaio,steel,,,Italy,,,
1,0001547-1,1.70,12,1.19,23,,,,,,,2.6,,,Modigliana – Riserva,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,2★-3★,8-12,Sangiovese 100%,Pasta e fagioli con le cotiche – Parmigiana di melanzane – Spiedone alla toscana – Maccheroncini al ragù di cortile – Pappardelle con sugo di lepre,85.7,0★,85.1,nd,nd,,,Rosso fermo,Red Wine,13,20k,6,acciaio,steel,,,Italy,,,
2,0001555,,,,,,,,,,,,2018,2011,Riserva,Romagna Sangiovese Riserva Cardinala,DOC,Romagna Sangiovese,Branchini,Romagna,2,15-19,Sangiovese 100%,Costoletta di castrato ai ferri,84,,84,,na,,,Rosso fermo,Red Wine,13.5,11,16,botte,oak,"% Rosso granato classico. Impronta olfattiva di elegante matrice, orientata su sentori evoluti di spezie dolci, fiori appassiti, note tostate e quasi mentolate in chiusura. Il sorso è morbido, pieno ed equilibrato, con tannini fini e ben integrati. Di buona persistenza, con ritorni di spezie nel finale. Sosta per 16 mesi in rovere e affina per altri 10 in bottiglia. ",,Italy,,,
2,0001555,,,,,,,,,,,,2019,2012,Riserva,Romagna Sangiovese Riserva Cardinala,DOC,Romagna Sangiovese,Branchini,Romagna,3,15-19,Sangiovese 100%,Rollè di vitello farcito,86,,86,,na,,,Rosso fermo,Red Wine,13.5,11,16,botte,oak,"Rosso granato. Elegante e intenso al naso, esibisce profumi di caramello, frutta secca, mandorle e arancia rossa Bocca vellutata e calda, dotata di gradevole freschezza e tannino ben levigato, esente da astringenze. Finale lungo con ritorni speziati di vaniglia. Vino promettente che merita un supplemento di tempo. Riposa in rovere per 16 mesi, poi sosta in bottiglia per 10. ",,Italy,,,
2,0001555,,,,,,,,,,,,2020,2013,Riserva,Romagna Sangiovese Riserva Cardinala,DOC,Romagna Sangiovese,Branchini,Romagna,3,15-19,Sangiovese 100%,nd,86,,86,,na,,,Rosso fermo,Red Wine,13.5,11,16,botte,oak,,,Italy,,,
2,0001555,,,,,,,,,,,,2023,2016,Riserva,Romagna Sangiovese Riserva Cardinala,DOC,Romagna Sangiovese,Branchini,Romagna,3,16-20,Sangiovese 100%,Gulash,86,,88,,na,,,Rosso fermo,Red Wine,14.5,11,16,botte,oak,,,Italy,,,
1,0001555-1,1.13,8,0.44,9,,,,,,,2.8,,,Riserva,Romagna Sangiovese Riserva Cardinala,DOC,Romagna Sangiovese,Branchini,Romagna,2★-3★,16-20,Sangiovese 100%,Costoletta di castrato ai ferri – Rollè di vitello farcito – Gulash,85.5,0★,86.0,nd,nd,,,Rosso fermo,Red Wine,14.5,11k,16,botte,oak,,,Italy,,,
2,0001555,,,,,,,,,,,,,2013,Superiore,Romagna Sangiovese Superiore Cardinala Nuova,DOC,Romagna Sangiovese,Branchini,Romagna,3,10-14,Sangiovese 100%,Trippa al sugo con fagioli,87,,87,,na,,,Rosso fermo,Red Wine,13.5,10,15,botte,oak,"Rosso rubino con riflessi granato. Naso elegante e complesso di frutta scura, more e mirtilli, con note di tartufo e sottobosco. Al palato l'ingresso di pacata morbidezza evidenzia maturità ed evoluzione. All'apporto calorico si contrappone una quota di freschezza più che adeguata a donare lunghezza a un finale dal tono vagamente amaricante e di soddisfacente persistenza. Riposa per 15 mesi in rovere e affina per altri 6 in bottiglia ",,Italy,,,
2,0001555,,,,,,,,,,,,,2014,Superiore,Romagna Sangiovese Superiore Cardinala Nuova,DOC,Romagna Sangiovese,Branchini,Romagna,4,10-14,Sangiovese 100%,Tordo lardellato,89,,89,,na,,,Rosso fermo,Red Wine,13.5,10,15,botte,oak,"Rosso rubino dai riflessi granato. Profumi espressivi di cannella,  vaniglia, cuoio, fiori secchi, ciliegia e  un tocco elegante di grafite. Il sorso è compatto, alcol e glicerina si intrecciano perfettamente stemperandosi nella  fitta trama dei tannini levigati. Grande corrispondenza gusto-olfattiva, in particolare nei rimandi floreali. La fresca corrente data dalla sferzata acida induce una delicata salivazione, predisponendo un riassaggio dal finale minerale. Matura per 15 mesi in rovere e affina per altri 6 in bottiglia. ",,Italy,,,
2,0001555,,,,,,,,,,,,,2015,Superiore,Romagna Sangiovese Superiore Cardinala Nuova,DOC,Romagna Sangiovese,Branchini,Romagna,4,10-14,Sangiovese 100%,Tagliatelle al sugo di castrato,89,,89,,na,,,Rosso fermo,Red Wine,13.5,13,15,botte,oak,"Rosso rubino. Profilo olfattivo dominato da frutti e spezie: ciliegie, susine scure, rabarbaro, cannella, su un sottofondo di tabacco. Sorso avvolgente e tonico al contempo, con tannini amalgamati  a dovere e un apporto di freschezza a conferire agilità e proporzione. Calore moderato e finale duraturo. Matura in legni di rovere francese per 15 mesi, cui seguono 6 mesi di bottiglia ",,Italy,,,
1,0001555-1,2.34,16,1.37,27,,,,,,,3.7,,,Superiore,Romagna Sangiovese Superiore Cardinala Nuova,DOC,Romagna Sangiovese,Branchini,Romagna,3★-4★,10-14,Sangiovese 100%,Trippa al sugo con fagioli – Tordo lardellato – Tagliatelle al sugo di castrato,na,,na,,na,,,Rosso fermo,Red Wine,13.5,11,15,botte,oak,,,Italy,,,
2,0001554,,,,,,,,,,,,2018,2015,Superiore,Romagna Sangiovese Superiore Contragrande,DOC,Romagna Sangiovese,Branchini,Romagna,3,5-9,Sangiovese 100%,Tagliatelle al ragù di lepre,85,,85,,na,,,Rosso fermo,Red Wine,13.5,5,12,botte grande,big oak,"| Rubino intenso che vira al granato. Profumi nitidi e ben scanditi di ciliegia sciroppata e rosa essiccata si alternano a bacche di ginepro, pepe  | nero e rosmarino. Assaggio deciso e di bell'equilibrio, dove freschezza e tannini levigati reggono egregiamente il sorso, lasciando spazio a una scia sapida nel finale. Fermenta in acciaio e matura per  ‘ un anno in botti grandi ",,Italy,,,
2,0001554,,,,,,,,,,,,2021,2018,Superiore,Romagna Sangiovese Superiore Contragrande,DOC,Romagna Sangiovese,Branchini,Romagna,3,5-9,Sangiovese 100%,Tagliatelle al ragù di cinghiale,85,,85,,na,,,Rosso fermo,Red Wine,13.5,10,12,botte grande,big oak,"| R!)sso rubino di buona trasparenza. Al naso emergono intriganti aromi di ciliegia, Mora, bacche di ginepro e spezie, ravvivati da viole e mentuccia. l'assaggio è teso e succoso, con tannini fini e vivaci sorretti da adeguata freschezza; epilogo lungo e saporito. Fermenta in acciaio e matura per 12 mesi in botti grandi ",,Italy,,,
2,0001554,,,,,,,,,,,,2022,2019,Superiore,Romagna Sangiovese Superiore Contragrande,DOC,Romagna Sangiovese,Branchini,Romagna,2,5-9,Sangiovese 100%,nd,84,,84,,na,,,Rosso fermo,Red Wine,13.5,10,8,acciaio,steel,,,Italy,,,
2,0001554,,,,,,,,,,,,2023,2020,Superiore,Romagna Sangiovese Superiore Contragrande,DOC,Romagna Sangiovese,Branchini,Romagna,2,5-9,Sangiovese 100%,Filetto di maiale lardellato,84,,92,,na,,,Rosso fermo,Red Wine,13.5,15,8,acciaio,steel,"Rubino di buona concentrazione. Profumi di viola  utti di bosco maturi sì intre ioni di pepe nero e sbuffi ogressione, ricca e di struttura, condivide sensazioni cald  tannini corroborati d vivida freschezza. Persistenti gli sromi fruttati.  ",,Italy,,,
1,0001554-1,0.91,6,0.91,18,,,,,,,2.5,,,Superiore,Romagna Sangiovese Superiore Contragrande,DOC,Romagna Sangiovese,Branchini,Romagna,2★-3★,5-9,Sangiovese 100%,Tagliatelle al ragù di lepre – Tagliatelle al ragù di cinghiale – Filetto di maiale lardellato,84.5,0★,86.5,nd,nd,,,Rosso fermo,Red Wine,13.5,15k,8,acciaio,steel,,,Italy,,,
2,0001558,,,,,,,,,,,,2017,2013,Bertinoro – Riserva,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,2,15-19,Sangiovese 100%,Tasca di vitello con funghi,84,,84,,na,,,Rosso fermo,Red Wine,14,4,12+12,acciaio+botte,steel+oak,"| Rubino tendente al granato. Aromi nitidi e vigorosi: amarene candite, cioccolato bianco e baccello di vaniglia. Il sorso è pieno, energico nel tannino, bilanciato a fatica dall'incedere caldo offerto da una generosa alcolicità. Finale lungo e saporito, con ritorni fruttati; il tannino risulta ancora un po' astringente. Il tempo lenirà le esuberanze. Vinificato in acciaio, matura per 2 anni in legno piccolo e affina per 6 mesi in bottiglia. ",,Italy,,,
2,0001558,,,,,,,,,,,,2018,2015,Bertinoro – Riserva,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,3,15-19,Sangiovese 100%,nd,86,,86,,na,,,Rosso fermo,Red Wine,14,4,12+12,acciaio+botte,steel+oak,,,Italy,,,
2,0001558,,,,,,,,,,,,2019,2016,Bertinoro – Riserva,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,3,15-19,Sangiovese 100%,Carrè di agnello lardellato,86,,86,,na,,,Rosso fermo,Red Wine,14,4,24,botte grande,big oak,"Rosso rubino con riflessi granato Distinti aromi di prugna rossa, anche  in confettura, con ricordi di pepe  nero e ginepro. Generoso al palato, caratterizzato da una certa opulenza, una robusta trama tannica e una diffusa sapidità. C'è una grande materia alla base di questo solido rosso, cui occorre ancora un periodo di assestamento  per raggiungere un equilibrio ottimale. Interessante. Riposa in legni di diversa capacità per 2 anni ",,Italy,,,
2,0001558,,,,,,,,,,,,2020,2017,Bertinoro – Riserva,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,3,15-19,Sangiovese 100%,Tagliata di mora romagnola alle erbe,86,,86,,na,,,Rosso fermo,Red Wine,14,3,24,botte grande,big oak,,,Italy,,,
2,0001558,,,,,,,,,,,,2023,2020,Bertinoro – Riserva,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,3,9-13,Sangiovese 100%,Maialino in agrodolce,86,,86,,na,,,Rosso fermo,Red Wine,14,10,24,botte grande,big oak,,,Italy,,,
1,0001558-1,1.47,10,0.94,18,,,,,,,2.8,,,Bertinoro – Riserva,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,2★-3★,9-13,Sangiovese 100%,Tasca di vitello con funghi – Carrè di agnello lardellato – Tagliata di mora romagnola alle erbe – Maialino in agrodolce,85.6,0★,85.6,nd,nd,,,Rosso fermo,Red Wine,14,10k,24,botte grande,big oak,,,Italy,,,
2,0001559,,,,,,,,,,,,,2017,nd,Romagna Sangiovese Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,2,10-14,Sangiovese 100%,Vellutata di porcini e cardoncelli con crostone,84,,84,,na,,,Rosso fermo,Red Wine,13,6,14,botte grande,big oak,"Rubino fitto con riflessi granato. Si concede al naso con generose tonalità di viole essiccate, frutti rossi in confettura, in una cornice di leggera speziatura.  In bocca è sfaccettato, con tannini integrati, freschezza slanciata e un  lungo finale dagli echi fruttati. Vinificato in acciaio, matura in botti grandi di Slavonia per 14 mesi. ",,Italy,,,
1,0001559-1,0.12,1,0.07,1,,,,,,,2.0,,,nd,Romagna Sangiovese Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,3★,10-14,Sangiovese 100%,Vellutata di porcini e cardoncelli con crostone,na,,na,,na,,,Rosso fermo,Red Wine,13,15,14,botte grande,big oak,,,Italy,,,
2,0001561,,,,,,,,,,,,2018,2014,San Vicinio,Romagna Sangiovese San Vicinio Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,3,10-14,Sangiovese 100%,Lasagne al forno,86,,86,,na,,,Rosso fermo,Red Wine,13.5,8,16,botte grande,big oak,"[ Rubino lucente di media estrazione. Naso che esprime in esordio sentori prevalentemente fruttati, su tutti ciliegie e susine rosse, fragranti e succulente. Presenta anche una componente floreale, seppur più defilata. l'assaggio si sviluppa in modo assai dinamico, rinfrescante e agile, con un tannino vibrante e amalgamato nella trama. Vino dal tratto giovanile e convincente nella confezione. Maturazione condotta in botti grandi di rovere di Slavonia da 35 ettolitri per 16 mesi, cui segue un breve affinamento in bottiglia. ",,Italy,,,
