Entry,Ref,OLDRS,RANK,RS,RAWQP,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0000164,,,,,,,,,,,,,,,2023,2016,Classico – Riserva,Amarone Classico Riserva Cuslanus,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,4,44-48,Corvina 70% – Corvinone 20% – Rondinella 10%,Medaglioni di cervo con riduzione,90,,89,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,9,36,botte grande,big oak,,,Italy,,,
1,000164-1,4.00,41,25,0.55,31,42,25,0.55,26,,,,,4.0,,,Classico – Riserva,Amarone Classico Riserva Cuslanus,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,4★,44-48,Corvina 70% – Corvinone 20% – Rondinella 10%,Faraona in salsa di mirtillo rosso – Sella di lepre con castagne e mirtilli – Bocconcini di cinghiale con rapa navona – Medaglioni di cervo con riduzione,89.8,0★,89.5,nd,nd,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,9k,36,botte grande,big oak,,,Italy,,,
2,0006233,,,,,,,,,,,,,,,2023,2017,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,4,38-42,Corvina 65% – Corvinone 10% – Rondinella 25%,Petto di germano reale al balsamico,90,,89,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,10,36,botte piccola/botte grande,small oak/big oak,,,Italy,,,
1,0006233-1,1.00,150,6,0.16,9,151,6,0.16,8,,,,,4.0,,,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,4★,38-42,Corvina 65% – Corvinone 10% – Rondinella 25%,Petto di germano reale al balsamico,90.0,0★,89.0,nd,nd,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,10k,36,botte piccola/botte grande,small oak/big oak,,,Italy,,,
2,0000180,,,,,,,,,,,,,,,2017,2004,Classico – Riserva,Amarone Classico Riserva,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,4,100-124,Corvina 65% – Corvinone 25% – Croatina 5% – Rondinella 5%,Brasato di angus,90,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,3,96,botte grande,big oak,"Granato fitto e profondo, percorso da una sorprendente luminosità. Aromi intensi di resina, china, humus, grafite, con suggestioni di sottobosco e un sottofondo etereo. Piano piano emergono complesse tonalità terziarie di cuoio, tabacco e iodio. All'assaggio è profondissimo, Vivace e dinamico: esibisce ancora una notevole freschezza, insieme a un tannino vellutato. Persistenza ricamata da spezie scure.",,Italy,,,
2,0000180,,,,,,,,,,,,,,,2018,2007,Classico – Riserva,Amarone Classico Riserva,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,4,70-74,Corvina 65% – Rondinella 25% – Corvinone 5% – Dindarella 5%,Capriolo in salmì,89,,89,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,4,60,botte piccola/botte grande,small oak/big oak,"Splendido granato luminoso, sfoggia ancora vivaci riflessi rubino. Freschezza balsamica all'olfatto, scandita da eucalipto e menta; in successione, poi, ciliegie sotto spirito, pepe nero, bergamotto, tabacco biondo, pellame. Mirabile per la vivacità del sorso, in cui  alcol e tannino vivo, di carattere, giocano in splendida sinergia. La persistenza, articolata e complessa, ripercorre con nitidezza gli aromi iniziali, lasciando un bellissimo finale di liquirizia e ginepro. ",,Italy,,,
2,0000180,,,,,,,,,,,,,,,2019,2008,Classico – Riserva,Amarone Classico Riserva,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,4,50-54,Corvina 65% – Rondinella 25% – Corvinone 5% – Dindarella 5%,Filetto con porcini e tartufo bianco,90,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,4,60,botte piccola/botte grande,small oak/big oak,"Rubino cupo e concentrato, con orlo granato. All'olfatto si riscontrano sentori raffinati e molto evoluti: pot-pourri, incenso, cera d'api e smalto, che si fondono con caffè, carruba, ginepro, corteccia, spezie, amarena in confettura e prugna disidratata; non mancano nuance di china ed eucalipto. Sorso corposo, rotondo, dal tannino pregiato e vellutato, che con l'esuberante morbidezza alcolica pone il palato in grande equilibrio. Nel complesso di grande fascino, con chiusura dai richiami di caffè.",,Italy,,,
2,0000180,,,,,,,,,,,,,,,2023,2012,Classico – Riserva,Amarone Classico Riserva,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,4,69-73,Corvina 65% – Rondinella 25% – Corvinone 5% – Dindarella 5%,Medaglioni di cervo con riduzione,90,,87,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16,4,60,botte piccola/botte grande,small oak/big oak,,,Italy,,,
1,000180-1,4.00,41,25,0.35,20,42,25,0.35,17,,,,,4.0,,,Classico – Riserva,Amarone Classico Riserva,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,4★,69-73,Corvina 65% – Rondinella 25% – Corvinone 5% – Dindarella 5%,Brasato di angus – Capriolo in salmì – Filetto con porcini e tartufo bianco – Medaglioni di cervo con riduzione,89.8,0★,89.0,nd,nd,Veneto Valpolicella,,Rosso fermo,Red Wine,16,4k,60,botte piccola/botte grande,small oak/big oak,,,Italy,,,
2,0000181,,,,,,,,,,,,,,,2019,2013,Classico,Amarone Classico Santambrogio,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,3,40-44,Corvina 65% – Rondinella 25% – Altri,Lepre in salmì,85,,85,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,5,24+12,botte piccola+grande,small oak+big oak,"Granato dai riflessi aranciati. Un tocco di nobile austerità con humus, sottobosco, corteccia, foglie di tè, cuoio e tabacco; quindi la caramella d'orzo, il miele di castagno, sensazioni agrumate di bergamotto; e ancora le confetture di ribes e mora. Il sorso si manifesta vellutato e morbido, ma non mancano una fresca energia e un tannino non ancora domo a sostenere  il sorso, dalla struttura possente. ",,Italy,,,
2,0000181,,,,,,,,,,,,,,,2021,2015,Classico,Amarone Classico Santambrogio,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,3,40-44,Corvina 65% – Rondinella 25% – Altri,Polenta e cinghiale,86,,86,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,5,24+12,botte piccola+grande,small oak+big oak,"Rubino che vira verso il granato. Emergono  i toni balsamici e floreali, incenso e viola essiccata, tabacco scuro, humus, legno, muschio e infine prugna e mora di rovo.  Caldo, morbido e di grande struttura. Discreto l'equilibrio, con una leggera traccia sapida e un tannino di rilievo che sta ancora completando la sua integrazione. Finale fruttato e balsamico dai toni cupi e vellutati.",,Italy,,,
2,0000181,,,,,,,,,,,,,,,2023,2017,Classico,Amarone Classico Santambrogio,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,3,44-48,Corvina 65% – Rondinella 25% – Altri,Capriolo ai porcini,86,,91,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,5,24+12,botte piccola+grande,small oak+big oak,"l colore è rosso nubino fito, di intensa tonalità. Spicca per sentori di prugna, ribes, lampone e ciliegla sotto spirito, In una nuvola tostata, speziata e balsamica, AL sorso Il palato è caldo e avvolgente ma anche fresco, con riconoscibile sapialità e tannino ottimamente strutturato. Molto lungo. ",,Italy,,,
1,000181-1,1.02,140,6,0.14,8,141,6,0.14,7,,,,,3.0,,,Classico,Amarone Classico Santambrogio,DOCG,Amarone Della Valpolicella,Aldegheri,Veneto,3★,44-48,Corvina 65% – Rondinella 25% – Altri,Capriolo ai porcini – Polenta e cinghiale – Lepre in salmì,85.7,0★,87.3,nd,nd,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,5k,24+12,botte piccola+grande,small oak+big oak,,,Italy,,,
2,0000004,,,,,,,,,,,,,,,2017,2011, ,Amarone Classico,DOCG,Amarone Della Valpolicella,Allegrini,Veneto,4,80-84,Corvina – Corvinone – Oseleta – Rondinella,Braciola di cervo,89,,89,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,100,18,botte piccola,small oak,,,Italy,,,
2,0000004,,,,,,,,,,,,,,,2018,2012, ,Amarone Classico,DOCG,Amarone Della Valpolicella,Allegrini,Veneto,4,80-84,Corvina – Corvinone – Oseleta – Rondinella,Costata di cavallo,90,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,100,18,botte piccola,small oak,,,Italy,,,
2,0000004,,,,,,,,,,,,,,,2019,2014, ,Amarone Classico,DOCG,Amarone Della Valpolicella,Allegrini,Veneto,4,80-84,Corvina – Corvinone – Oseleta – Rondinella,Filetto di cinghiale in crosta ai funghi,89,,89,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,100,18,botte piccola,small oak,,,Italy,,,
2,0000004,,,,,,,,,,,,,,,2020,2015, ,Amarone Classico,DOCG,Amarone Della Valpolicella,Allegrini,Veneto,4,80-84,Corvina – Corvinone – Oseleta – Rondinella,Sella di cervo al ribes,89,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,100,18,botte piccola,small oak,,,Italy,,,
2,0000004,,,,,,,,,,,,,,,2021,2016, ,Amarone Classico,DOCG,Amarone Della Valpolicella,Allegrini,Veneto,4,80-84,Corvina – Corvinone – Oseleta – Rondinella,Filetto di angus,89,,89,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,100,18,botte piccola,small oak,,,Italy,,,
2,0000004,,,,,,,,,,,,,,,2022,2017, ,Amarone Classico,DOCG,Amarone Della Valpolicella,Allegrini,Veneto,4,80-84,Corvina – Corvinone – Oseleta – Rondinella,nd,89,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,100,18,botte piccola,small oak,,,Italy,,,
2,0000004,,,,,,,,,,,,,,,2023,2018, ,Amarone Classico,DOCG,Amarone Della Valpolicella,Allegrini,Veneto,4,82-86,Corvina – Corvinone – Oseleta – Rondinella,Lepre in salmì,89,,89,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,100,18,botte piccola,small oak,"Granato Mto e luminoso. Sentori di ciliegia sotto spirito e confetture di mora e prugna aprono IL panorama olfattivo: seguono alloro, eucalipto, Uquirizia e tabacco. Sorso equilibrato con punta di calore che bilancia IL tannino fitto ma levigato. Nel sapido finale persiste la complessità otfattiva.  ",,Italy,,,
1,0004-1,7.01,13,44,0.52,30,13,44,0.52,25,,,,,4.0,,, ,Amarone Classico,DOCG,Amarone Della Valpolicella,Allegrini,Veneto,4★,82-86,Corvina – Corvinone – Oseleta – Rondinella,Costata di cavallo – Filetto di cinghiale in crosta ai funghi – Sella di cervo al ribes – Filetto di angus – Lepre in salmì,89.1,0★,89.4,nd,nd,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,100k,18,botte piccola,small oak,,,Italy,,,
2,0000005,,,,,,,,,,,,,,,2018,2011,Classico,Amarone Classico Ca' Coato,DOCG,Amarone Della Valpolicella,Antolini,Veneto,4,50-54,,Coscia d'anatra confit,89,,89,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,24,botte,oak,,,Italy,,,
2,0000005,,,,,,,,,,,,,,,2020,2015,Classico,Amarone Classico Ca' Coato,DOCG,Amarone Della Valpolicella,Antolini,Veneto,3,50-54,,Bocconcini di cinghiale alle prugne,86,,86,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,24,botte,oak,,,Italy,,,
2,0000005,,,,,,,,,,,,,,,2021,2016,Classico,Amarone Classico Ca' Coato,DOCG,Amarone Della Valpolicella,Antolini,Veneto,3,50-54,,Monte veronese stagionato,87,,87,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,24,botte,oak,,,Italy,,,
1,0000005-1,1.68,122,11,0.20,12,123,11,0.20,10,,,,,3.3,,,Classico,Amarone Classico Ca' Coato,DOCG,Amarone Della Valpolicella,Antolini,Veneto,3★-4★,50-54,,Coscia d'anatra confit – Bocconcini di cinghiale alle prugne – Monte veronese stagionato,na,,na,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,24,botte,oak,,,Italy,,,
2,0000006,,,,,,,,,,,,,,,2017,2012,Classico,Amarone Classico Moropio,DOCG,Amarone Della Valpolicella,Antolini,Veneto,3,40-44,Corvina 40% – Corvinone 40% – Rondinella 15% – Molinara 5%,Brasato al vino,87,,87,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,24,botte,oak,,,Italy,,,
2,0000006,,,,,,,,,,,,,,,2020,2015,Classico,Amarone Classico Moropio,DOCG,Amarone Della Valpolicella,Antolini,Veneto,3,40-44,Corvina 40% – Corvinone 40% – Rondinella 15% – Molinara 5%,Pernice alla ghiotta,86,,86,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,24,botte,oak,,,Italy,,,
2,0000006,,,,,,,,,,,,,,,2021,2016,Classico,Amarone Classico Moropio,DOCG,Amarone Della Valpolicella,Antolini,Veneto,3,40-44,Corvina 40% – Corvinone 40% – Rondinella 15% – Molinara 5%,Coscia d'oca con semi di sesamo,87,,87,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,24,botte,oak,,,Italy,,,
2,0000006,,,,,,,,,,,,,,,2022,2017,Classico,Amarone Classico Moropio,DOCG,Amarone Della Valpolicella,Antolini,Veneto,4,40-44,Corvina 40% – Corvinone 40% – Rondinella 15% – Molinara 5%,Capriolo in teglia con funghi e polenta,90,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,24,botte,oak,,,Italy,,,
1,0000006-1,2.02,101,13,0.30,17,102,13,0.30,14,,,,,3.3,,,Classico,Amarone Classico Moropio,DOCG,Amarone Della Valpolicella,Antolini,Veneto,3★-4★,40-44,Corvina 40% – Corvinone 40% – Rondinella 15% – Molinara 5%,Brasato al vino – Pernice alla ghiotta – Coscia d'oca con semi di sesamo – Capriolo in teglia con funghi e polenta,na,,na,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,24,botte,oak,,,Italy,,,
2,0000007,,,,,,,,,,,,,,,2017,2012,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Begali,Veneto,3,45-49,Corvina 65% – Rondinella 30% – Molinara 3% – Oseleta 2%,Braciola di maiale con salsa di ribes,86,,86,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,20,36,botte grande,big oak,,,Italy,,,
2,0000007,,,,,,,,,,,,,,,2018,2013,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Begali,Veneto,3,45-49,Corvina 65% – Rondinella 30% – Molinara 3% – Oseleta 2%,Cacciagione allo spiedo,86,,86,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,20,36,botte grande,big oak,,,Italy,,,
2,0000007,,,,,,,,,,,,,,,2020,2015,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Begali,Veneto,3,45-49,Corvina 65% – Rondinella 30% – Molinara 3% – Oseleta 2%,Filetto di bue in salsa al roquefort,87,,87,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,20,36,botte grande,big oak,,,Italy,,,
2,0000007,,,,,,,,,,,,,,,2021,2016,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Begali,Veneto,3,45-49,Corvina 65% – Rondinella 30% – Molinara 3% – Oseleta 2%,Capriolo in umido alle mele,87,,87,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,20,36,botte grande,big oak,,,Italy,,,
2,0000007,,,,,,,,,,,,,,,2022,2017,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Begali,Veneto,3,45-49,Corvina 65% – Rondinella 30% – Molinara 3% – Oseleta 2%,nd,88,,88,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,20,36,botte grande,big oak,,,Italy,,,
2,0000007,,,,,,,,,,,,,,,2023,2018,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Begali,Veneto,3,43-47,Corvina 65% – Rondinella 30% – Molinara 3% – Oseleta 2%,Quaglie alla cacciatora,88,,88,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,20,36,botte grande,big oak,,,Italy,,,
1,0007-1,2.03,97,13,0.28,16,98,13,0.28,14,,,,,3.0,,,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Begali,Veneto,3★,43-47,Corvina 65% – Rondinella 30% – Molinara 3% – Oseleta 2%,Braciola di maiale con salsa di ribes – Cacciagione allo spiedo – Filetto di bue in salsa al roquefort – Capriolo in umido alle mele – Quaglie alla cacciatora,87.0,0★,87.0,nd,nd,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,20k,36,botte grande,big oak,,,Italy,,,
2,0000008,,,,,,,,,,,,,,,2017,2011,Classico – Riserva,Amarone Classico Riserva Monte Ca' Bianca,DOCG,Amarone Della Valpolicella,Begali,Veneto,4,55-59,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,Stracotto di manzo,90,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,6,48,botte grande,big oak,,,Italy,,,
2,0000008,,,,,,,,,,,,,,,2018,2012,Classico – Riserva,Amarone Classico Riserva Monte Ca' Bianca,DOCG,Amarone Della Valpolicella,Begali,Veneto,4,55-59,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,Brasato di manzo,90,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,6,48,botte grande,big oak,,,Italy,,,
2,0000008,,,,,,,,,,,,,,,2019,2013,Classico – Riserva,Amarone Classico Riserva Monte Ca' Bianca,DOCG,Amarone Della Valpolicella,Begali,Veneto,5,55-59,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,Spezzatino di cervo al ginepro,94,,94,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,6,48,botte grande,big oak,,,Italy,,,
2,0000008,,,,,,,,,,,,,,,2021,2015,Classico – Riserva,Amarone Classico Riserva Monte Ca' Bianca,DOCG,Amarone Della Valpolicella,Begali,Veneto,4,55-59,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,Cosciotto di capretto al rosmarino,90,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,6,48,botte grande,big oak,,,Italy,,,
2,0000008,,,,,,,,,,,,,,,2023,2017,Classico – Riserva,Amarone Classico Riserva Monte Ca' Bianca,DOCG,Amarone Della Valpolicella,Begali,Veneto,4,56-60,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,Capriolo con salsa di ribes,90,,92,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,6,48,botte grande,big oak,"Granato cupo con orlo aranciato. Otfatto ricco con plccoli frutti rassi In composta, prugna secca, spezie dolci, tabacco, pepe neto, chiodi d  o, Uquirizia, ginepro e arancia amara. Sorso sia ‘ sapido, con tannino vellutato. Lunghissimo  finale agrumato e frut ",,Italy,,,
1,0008-1,6.99,14,44,0.76,43,14,44,0.76,36,,,,,4.2,,,Classico – Riserva,Amarone Classico Riserva Monte Ca' Bianca,DOCG,Amarone Della Valpolicella,Begali,Veneto,4★-5★,56-60,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,Stracotto di manzo – Brasato di manzo – Spezzatino di cervo al ginepro – Cosciotto di capretto al rosmarino – Capriolo con salsa di ribes,90.8,0★,91.2,nd,nd,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,6k,48,botte grande,big oak,,,Italy,,,
2,0000009,,,,,,,,,,,,,,,2017,2012,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Benedetti Corte Antica,Veneto,3,35-39,Corvina 65% – Rondinella 30% – Molinara 5%,nd,88,,88,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,40,botte grande,big oak,,,Italy,,,
1,0000009-1,0.34,192,2,0.06,3,195,2,0.06,3,,,,,3.0,,,Classico,Amarone Classico,DOCG,Amarone Della Valpolicella,Benedetti Corte Antica,Veneto,3★,35-39,Corvina 65% – Rondinella 30% – Molinara 5%,nd,na,,na,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,40,botte grande,big oak,,,Italy,,,
2,0000010,,,,,,,,,,,,,,,2021,2016,Classico,Amarone Classico Etichetta Red,DOCG,Amarone Della Valpolicella,Benedetti Corte Antica,Veneto,3,35-39,Corvina 40% – Corvinone 40% – Rondinella 20%,nd,88,,88,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,37,botte grande,big oak,,,Italy,,,
1,0000010-1,0.34,192,2,0.06,3,195,2,0.06,3,,,,,3.0,,,Classico,Amarone Classico Etichetta Red,DOCG,Amarone Della Valpolicella,Benedetti Corte Antica,Veneto,3★,35-39,Corvina 40% – Corvinone 40% – Rondinella 20%,nd,na,,na,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16.5,,37,botte grande,big oak,,,Italy,,,
