Entry,Ref,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
1,0002162-1,1.02,75,1.21,39,,0,,10,0.16,3,3.0,,,,Valle D'Aosta Bianco Neige D'Or,DOC,Valle D'Aosta Bianco,Les Cretes,Valle D'Aosta,3★,60-64,Petite Arvine 60% – Pinot Grigio 40%,nd,86.0,3★,86.0,3★,86.0,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,13.5,2k-3k,12,botte,oak,,,Italy,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0002149,,,,,,,,,,,,,2015,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Albert Vevey,Valle D'Aosta,4,15-19,Prie Blanc 100%,nd,90,4,90,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,13,7k,6,acciaio,steel,| Paglierino tenue con nitidi riflessi verdolini Naso elegante e irreprensibile, dove l’evidente componente minerale di silice si accompagna a erbe di montagna, buccia di cedro, erica  | essiccata, menta piperita e muschio, con stuzzicanti effluvi marini e iodati nel finale. Palato estremamente fresco e fragrante, con un solerte guizzo sapido in chiusura a prolungarne la persistenza. Matura in acciaio per 5 mesi, segue un breve affinamento di 3  | mesi in bottiglia ,,Italia,,,
2,0002149,,,,,,,,,,,,,2016,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Albert Vevey,Valle D'Aosta,4,15-19,Prie Blanc 100%,Trota al forno con vellutata di patate e toma,90,4,90,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,13,8k,6,acciaio,steel,"Colore del ghiacciaio, e come esso vivace e luminoso. Espressione del territorio, il naso è sottile ed elegante, estremamente fresco di erbe di montagna e sensazioni minerali che evocano la roccia erosa dai ghiacciai. Accanto, note fragranti di mela verde e accenni di fiori bianchi. In bocca l'ingresso è teso, di ottima corrispondenza, un'eccellente scia sapida sorregge il sorso e lo conduce a una chiusa garbata, delicatamente persistente. ",,Italia,,,
2,0002149,,,,,,,,,,,,,2018,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Albert Vevey,Valle D'Aosta,4,20-24,Prie Blanc 100%,Trota gratinata,89,4,89,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,10k,6,acciaio,steel,"| Giallo paglierino trasparente e luminoso dai riflessi verdolini. Naso delicato dalla spiccata mineralità: apre con profumi di erbe di montagna, felce, humus, fiori di campo e zagara,, rivela poi sentori agrumati di cedro e pompelmo, per terminare con l'anice stellato. All'assaggio è avvolgente, dotato di un sorprendente equilibrio, nel quale le note gliceriche contrastano la dotazione di freschezza e sapidità, si allunga sulle sensazioni aromatiche delle erbette montane. Riposa in botti di vetroresina per 6 mesi ",,Italia,,,
2,0002149,,,,,,,,,,,,,2019,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Albert Vevey,Valle D'Aosta,3,15-19,Prie Blanc 100%,Crudité di crostacei,87,3,87,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,10k,6,acciaio,steel,Giallo paglierino luminoso. Al naso sprigiona un'immediata idea di pietra focaia, rivelando successivamente sensazioni appena accennate di idrocarburi, che si accompagnano a ricordi di arancia bionda e verbena. Sorso fresco e sapido, in cui prevalgono sentori citrini e di erbe montane. Sosta in vetroresina per 6 mesi ,,Italia,,,
2,0002149,,,,,,,,,,,,,2020,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Albert Vevey,Valle D'Aosta,3,15-19,Prie Blanc 100%,nd,86,3,86,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,5k,6,acciaio,steel,,,Italia,,,
1,0002149-1,3.68,100,5.88,100,,0,,37,2.17,37,3.6,,,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Albert Vevey,Valle D'Aosta,3★-4★,15-19,Prie Blanc 100%,Trota al forno con vellutata di patate e toma – Trota gratinata – Crudité di crostacei,nd,3★-4★,nd,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,5k-10k,6,acciaio,steel,,,Italy,,,
2,0002148,,,,,,,,,,,,,2019,,Valle D'Aosta Blanc De Morgex Et De La Salle Non Filtrato,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Albert Vevey,Valle D'Aosta,4,15-19,Prie Blanc 100%,Filetti di trota al timo,89,4,89,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,10k,6,acciaio,steel,| Luminosa veste giallo paglierino. Esordio minerale di grafite, che vira su un bouquet di erbe, fiori di montagna e camomilla. Completano il corredo sfumature agrumate e di idrocarburi. Palato fresco, sapido, dal sorso pieno, equilibrato e dinamico, che conduce a un persistente finale punteggiato da sensazioni di lime. Fermenta per 5 giorni in botti di vetroresina, dove poi matura per 6 mesi, di cui  | uno sui lieviti ,,Italia,,,
2,0002148,,,,,,,,,,,,,2020,,Valle D'Aosta Blanc De Morgex Et De La Salle Non Filtrato,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Albert Vevey,Valle D'Aosta,3,15-19,Prie Blanc 100%,Charlotte di trota con ragù di verdure,87,3,87,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,2k,6,acciaio,steel,Sfavillante verve paglierino. Intrigante l'annuncio di citronella, erbe di montagna e pesca bianca che lasciano spazio a schegge d'ardesia bagnata e quarzo. Assaggio fresco, sapido, che si al- lunga sui guizzi di cedro ed erbe aromatiche. ,,Italia,,,
1,0002148-1,1.34,36,2.14,36,,0,,13,0.79,13,3.5,,,,Valle D'Aosta Blanc De Morgex Et De La Salle Non Filtrato,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Albert Vevey,Valle D'Aosta,3★-4★,15-19,Prie Blanc 100%,Filetti di trota al timo – Charlotte di trota con ragù di verdure,88.0,3★-4★,88.0,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,2k-10k,6,acciaio,steel,,,Italy,,,
2,0002155,,,,,,,,,,,,,2018,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Carlo Celegato,Valle D'Aosta,3,10-14,Prie Blanc 100%,Zuppetta di pesce di lago,86,3,86,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,1k,6,acciaio,steel,Giallo paglierino delicato. Un bouquet che apre con toni erbacei per passare a profumi di rosmarino, agrumi e papaia. Avvolgente con sentori esotici e una accentuata mineralità quasi di salsedine. Un vino deciso, che emana freschezza e sapidità. Chiude con un finale agrumato e amaricante. Sosta per 6 mesi in botti di acciaio. ,,Italia,,,
1,0002155-1,0.34,9,0.77,13,,0,,3,0.28,5,3.0,,,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Carlo Celegato,Valle D'Aosta,3★,10-14,Prie Blanc 100%,Zuppetta di pesce di lago,nd,3★,nd,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,1k,6,acciaio,steel,,,Italy,,,
2,0002152,,,,,,,,,,,,,2015,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,2,10-14,Prie Blanc 100%,nd,82,2,82,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,11.5,50k,6,acciaio,steel,,,Italia,,,
2,0002152,,,,,,,,,,,,,2018,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,2,10-14,Prie Blanc 100%,nd,84,2,84,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,11.5,36k,6,acciaio,steel,,,Italia,,,
2,0002152,,,,,,,,,,,,,2019,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,4,10-14,Prie Blanc 100%,Fritto misto di pesce,89,4,89,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,11.5,30k,6,acciaio,steel,Giallo paglierino vivido, illuminato da intensi riflessi verdolini. L'olfatto è contraddistinto da un variopinto puzzle di sentori minerali, erbacei, fruttati e floreali, con esordio di mentuccia, per poi virare verso ananas e mela renetta. Chiude con leggeri cenni di piccoli fiori bianchi ed erba di campo su una scia minerale. I| sorso è pieno, scorrevole. Fresco e sapido. Lungo epilogo persistente, con ricordi di limone, mentolo e mela verde. Riposa per 6 mesi in acciaio. ,,Italia,,,
1,0002152-1,1.23,33,2.79,47,,0,,12,1.03,18,2.7,,,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,2★-4★,10-14,Prie Blanc 100%,Fritto misto di pesce,nd,2★-4★,nd,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,11.5,30k-50k,6,acciaio,steel,,,Italy,,,
2,0002146,,,,,,,,,,,,,2019,,Valle D'Aosta Blanc De Morgex Et De La Salle La Piagne,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,3,25-29,Prie Blanc 100%,nd,88,3,88,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,16k,12,acciaio,steel,,,Italia,,,
1,0002146-1,0.34,9,0.34,6,,0,,3,0.13,2,3.0,,,,Valle D'Aosta Blanc De Morgex Et De La Salle La Piagne,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,3★,25-29,Prie Blanc 100%,nd,nd,3★,nd,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,16k,12,acciaio,steel,,,Italy,,,
2,0002158,,,,,,,,,,,,,2018,,Valle D'Aosta Blanc De Morgex Et De La Salle Landeren,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,3,20-24,Prie Blanc 100%,Spaghetti alla carbonara,86,3,86,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,2k,12,acciaio,steel,"Giallo verdolino trasparente, dal perlage fine. Gentile nei profumi, con fragranze floreali e fruttate di lavanda, pompelmo, pesca bianca  e cedro, cenni di ardesia e cardo. l'attacco gustativo fresco e sapido riprende i ricordi olfattivi, rilasciandoli lentamente nel lungo finale agrumato. Sosta per 12 mesi sui lieviti in acciaio. ",,Italia,,,
1,0002158-1,0.34,9,0.42,7,,0,,3,0.15,3,3.0,,,,Valle D'Aosta Blanc De Morgex Et De La Salle Landeren,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,3★,20-24,Prie Blanc 100%,Spaghetti alla carbonara,nd,3★,nd,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,2k,12,acciaio,steel,,,Italy,,,
2,0002154,,,,,,,,,,,,,2018,,Valle D'Aosta Blanc De Morgex Et De La Salle Rayon,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,2,15-19,Prie Blanc 100%,nd,82,2,82,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,10k,-,-,-,,,Italia,,,
1,0002154-1,0.12,3,0.18,3,,0,,1,0.07,1,2.0,,,,Valle D'Aosta Blanc De Morgex Et De La Salle Rayon,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,2★,15-19,Prie Blanc 100%,nd,nd,2★,nd,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,10k,-,-,-,,,Italy,,,
2,0002147,,,,,,,,,,,,,2015,,Valle D'Aosta Blanc De Morgex Et De La Salle Vini Estremi,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,1,10-14,Prie Blanc 100%,nd,79,1,79,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,6k,6,acciaio,steel,,,Italia,,,
2,0002147,,,,,,,,,,,,,2016,,Valle D'Aosta Blanc De Morgex Et De La Salle Vini Estremi,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,2,10-14,Prie Blanc 100%,nd,82.5,1,79,3,86,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,6k,6,acciaio,steel,,,Italia,,,
2,0002147,,,,,,,,,,,,,2020,,Valle D'Aosta Blanc De Morgex Et De La Salle Vini Estremi,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,3,15-19,Prie Blanc 100%,nd,85,3,85,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,11.5,16k,6,acciaio,steel,,,Italia,,,
1,0002147-1,0.46,12,0.73,12,,0,,5,0.27,5,2.0,,,,Valle D'Aosta Blanc De Morgex Et De La Salle Vini Estremi,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Cave Mont Blanc,Valle D'Aosta,1★-3★,15-19,Prie Blanc 100%,nd,82.2,1★-3★,81.0,3★,86.0,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,11.5,6k-16k,6,acciaio,steel,,,Italy,,,
2,0002157,,,,,,,,,,,,,2018,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Crotta Delle Meurdzie,Valle D'Aosta,3,15-19,Prie Blanc 100%,Quenelles ai formaggi,86,3,86,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,5k,6,acciaio,steel,Giallo paglierino tenue con riflessi verdolini. Al naso si rivela con sentori di erbe aromatiche  e camonmilla, seguiti da pesca bianca e  frutta esotica. Sorso fresco e sapido, al retrolfatto si ripresentano le erbe aromatiche, accompagnate da un gradevole coté agrumato. Staziona 6 mesi in vasche di acciaio. ,,Italia,,,
1,0002157-1,0.34,9,0.54,9,,0,,3,0.20,3,3.0,,,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Crotta Delle Meurdzie,Valle D'Aosta,3★,15-19,Prie Blanc 100%,Quenelles ai formaggi,nd,3★,nd,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,5k,6,acciaio,steel,,,Italy,,,
2,0002151,,,,,,,,,,,,,2015,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,2,15-19,Prie Blanc 100%,Jambon de Bosses,83,2,83,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,16k,6,acciaio,steel,Paglierino tenue. Spettro olfattivo composto da fiori di campo, cedro fresco e bergamotto, arricchito da nuance silicee e iodate. La bocca, tesa e sapida, conferma le sensazioni agrumate e il soffio minerale tipico valdostano arricchisce il sapore. Vinificazione in acciaio. ,,Italia,,,
2,0002151,,,,,,,,,,,,,2016,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,2,15-19,Prie Blanc 100%,nd,83,2,83,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,33k,6,acciaio,steel,,,Italia,,,
2,0002151,,,,,,,,,,,,,2018,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,2,15-19,Prie Blanc 100%,nd,84,2,84,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,13,28k,6,acciaio,steel,,,Italia,,,
2,0002151,,,,,,,,,,,,,2019,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,3,15-19,Prie Blanc 100%,Salmerino all'aneto,86.5,3,85,3,88,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,19k,6,acciaio,steel,"Giallo verdolino di grande luminosità. Incipit ‘odoroso minerale che sviluppa richiami  di grafite, seguono sentori di timo, erbe di montagna, biancospino, pera williams, agrumi e sbuffi di pepe bianco. All'assaggio si rivela netto e terso, fresco, con intense tracce sapide. Si allunga prima di congedarsi su apprezzabili indizi aromatici. Riposo di 6 mesi in acciaio. ",,Italia,,,
1,0002151-1,0.69,19,1.10,19,,0,,7,0.40,7,2.3,,,,Valle D'Aosta Blanc De Morgex Et De La Salle,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,2★-3★,15-19,Prie Blanc 100%,Jambon de Bosses – Salmerino all'aneto,84.1,2★-3★,83.8,3★,88.0,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,16k-33k,6,acciaio,steel,,,Italy,,,
2,0002153,,,,,,,,,,,,,2013,,Valle D'Aosta Blanc De Morgex Et De La Salle 20,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,4,30-34,Prie Blanc 100%,Tartare di trota salmonata,89,4,89,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,1k,12,acciaio,steel,Paglierino intenso con riflessi dorati. Ricco nei profumi di mela renetta, fiori di ginestra, cedro, pesca gialla e un ricordo di miele millefiori Pietra focaia e grafite completano il quadro, su uno sfondo quasi fumé. Dinamico lo sviluppo in bocca, con un sorso pieno e ben distribuito, tra sensazioni di erbe aromatiche e frutta che indugiano a lungo. Finale appagante e durevole, fatto di sale e pompelmo rosa. Maturazione per 12 mesi in acciaio sulle fecce fini, poi 68 mesi | di affinamento in bottiglia ,,Italia,,,
1,0002153-1,1.00,27,0.85,14,,0,,10,0.31,5,4.0,,,,Valle D'Aosta Blanc De Morgex Et De La Salle 20,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,4★,30-34,Prie Blanc 100%,Tartare di trota salmonata,nd,4★,nd,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12,1k,12,acciaio,steel,,,Italy,,,
2,0002160,,,,,,,,,,,,,2014,,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,2,20-24,Prie Blanc 100%,nd,84,2,84,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,13,2k,-,-,-,,,Italia,,,
2,0002160,,,,,,,,,,,,,2015,,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,2,20-24,Prie Blanc 100%,nd,84,2,84,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,13,2k,-,-,-,,,Italia,,,
2,0002160,,,,,,,,,,,,,2016,,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,3,15-19,Prie Blanc 100%,nd,85,3,85,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12.5,2k,-,-,-,,,Italia,,,
2,0002160,,,,,,,,,,,,,2018,,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,3,15-19,Prie Blanc 100%,nd,88,nd,nd,3,88,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12.5,2k,-,-,-,,,Italia,,,
1,0002160-1,0.91,25,1.45,25,,0,,9,0.54,9,2.5,,,,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,DOC,Valle D'Aosta Blanc De Morgex Et De La Salle,Ermes Pavese,Valle D'Aosta,2★-3★,15-19,Prie Blanc 100%,nd,nd,2★-3★,nd,3★,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,12.5,2k,-,-,-,,,Italy,,,
