Entry,Ref,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
1,0000612-1,0.12,1,0.12,2,1,0.09,2,,0,,2.0,,,,Cesanese Del Piglio De Antiochia,DOCG,Cesanese Del Piglio,Cantina Sociale Del Piglio,Lazio,2★,5-9,Cesanese d'affile 100%,nd,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,50k,-,-,-,,,Italy,,,
2,0000611,,,,,,,,,,,,,2015,,Cesanese Del Piglio Elcini,DOCG,Cesanese Del Piglio,Cantina Sociale Del Piglio,Lazio,3,10-14,Cesanese d'affile 100%,Rotolo di vitello con pancetta al forno,85,,85,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,10,12,botte grande,big oak,"Rubino scuro compatto. Profuma di cioccolato, mandorla tostata e anice, fusi a sentori di amarena e visciole in confettura. | ricordi vegetali e balsamici, insieme a tè e tabacco, si intrecciano a decise note speziate, con viola e rosa in sottofondo. Bocca di grande impatto, saporita, dalla chiusura speziata. ",,Italy,,,
1,0000611-1,0.34,2,0.20,3,2,0.16,3,,0,,3.0,,,,Cesanese Del Piglio Elcini,DOCG,Cesanese Del Piglio,Cantina Sociale Del Piglio,Lazio,2★,10-14,Cesanese d'affile 100%,Rotolo di vitello con pancetta al forno,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,10k,12,botte grande,big oak,,,Italy,,,
2,0000588,,,,,,,,,,,,,2016,,Cesanese Del Piglio Campo Novo,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,3,10-14,Cesanese d'affile 100%,nd,85,,85,,na,Lazio Cesanese,Rosso fermo,Red Wine,13,15,-,-,-,,,Italy,,,
2,0000588,,,,,,,,,,,,,2019,,Cesanese Del Piglio Campo Novo,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,2,10-14,Cesanese d'affile 100%,nd,84,,84,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,25,-,-,-,,,Italy,,,
1,0000588-1,0.45,3,0.27,5,3,0.21,4,,0,,2.5,,,,Cesanese Del Piglio Campo Novo,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,2★-3★,10-14,Cesanese d'affile 100%,nd,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,35k,-,-,-,,,Italy,,,
2,0000586,,,,,,,,,,,,,2013,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Torre Del Piano,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,5,20-24,Cesanese d'affile 100%,Garofolato di Veroli,91,,91,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,4,8,botte,oak,"Uve provenienti da un solo vigneto ai piedi dei monti Ernici e selezione della materia prima con basse rese per ettaro sono solo alcuni degli ingredienti di questo vino esemplare. Rubino  di buona concentrazione. Si apre all'olfatto  con note fruttate mature di prugna e marasca, arancia sanguinella, macchia mediterranea, chiodi di garofano, con sfumature balsamiche ed eteree. Al gusto è decisamente caldo e avvolgente, con una alcolicità molto ben bilanciata da ricchezza di estratti e freschezza",,Italy,,,
2,0000586,,,,,,,,,,,,,2015,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Torre Del Piano,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,5,20-24,Cesanese d'affile 100%,Entrecote ai funghi porcini,91,,91,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,4,8,botte,oak,"Le uve migliori selezionate in questo vero e proprio cru donano profondità e opulenza Ostenta signorilità già dal colore, con un rosso rubino attraversato da riverberi granato. La potenza olfattiva è declinata in una nutrita scansione di profumi, dalla rosa canina all'alloro, dal sandalo a cenni di zolfo e caramello, prima di cedere il passo a un soffio balsamico di eucalipto. Al primo sorso rivela la sua raffinata trama tannica, che genera  un sorprendente equilibrio e un finale dai lunghissimi ricordi balsamici. ",,Italy,,,
2,0000586,,,,,,,,,,,,,2016,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Torre Del Piano,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,4,20-24,Cesanese d'affile 100%,Abbuoto,90,,90,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,4,8,botte,oak,"Manto rubino con sfumature granato. l’essenza mediterranea detta il ritmo olfattivo, con profumi di mirto, frutta selvatica, bacche di ginepro, radici e timo su nuance di petali di rosa e ciliegia. Rimandi di cacao e torrefazione si alternano a esuberanti effluvi balsamici Denso, con fitta trama fenolica, in bocca lascia emergere sostanza e calore, freschezza sostenuta e gustosa sapidità. Durevole persistenza con lunghissimi echi di cioccolato e amarena. Ottime potenzialità evolutive.",,Italy,,,
2,0000586,,,,,,,,,,,,,2017,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Torre Del Piano,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,5,20-24,Cesanese d'affile 100%,Fiorentina alla brace,91,,91,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,4,8,botte,oak,"Rosso rubino che vira su toni granato. Offre generosi sentori di ciliegia sotto spirito, ribes, lamponi e more che si fondono al timo e alle erbe aromatiche, sprigionando tipiche essenze balsamiche e ricordi di macchia mediterranea; lo impreziosiscono cenni di cacao, tabacco  e liquirizia, su un vivace sfondo di viola mammola e rosa. | tannini decisi ma setosi contribuiscono ad arricchire il corpo morbido e vellutato; la freschezza lo rende estremamente dinamico; finale ricco e persistente dal tono speziato. ",,Italy,,,
2,0000586,,,,,,,,,,,,,2019,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Torre Del Piano,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,5,20-24,Cesanese d'affile 100%,Spalla arrosto con coratella,91,,91,,na,Lazio Cesanese,Rosso fermo,Red Wine,15,5,6,botte,oak,"Rubino compatto con luminosi cenni granato. L'ampio bouquet regala more di rovo, visciole sotto spirito, pot-pourri di rose e viole, insieme a cannella, vaniglia, cioccolato, sigaro toscano, cipria e lieve sottobosco. Fini sensazioni mentolate sul finale. Il sorso è nobile, morbido e avvolgente, di spiccata personalità, sostenutc da preziosi tannini perfettamente levigati Piacevole la freschezza, in mirabile equilibrio con la generosa dotazione alcolica. Lunga la scia aromatica, armonica e di ampio respiro. ",,Italy,,,
1,0000586-1,12.93,93,4.22,72,72,3.28,56,,0,,4.8,,,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Torre Del Piano,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,4★-5★,20-24,Cesanese d'affile 100%,Garofolato di Veroli – Entrecote ai funghi porcini – Abbuoto – Fiorentina alla brace – Spalla arrosto con coratella,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,15,4k-5k,6 mesi in botte + 6-14 mesi in bottiglia,botte,oak,,,Italy,,,
2,0000587,,,,,,,,,,,,,2015,Superiore,Cesanese Del Piglio Superiore Tenuta Della Ioria,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,2,10-14,Cesanese d'affile 100%,nd,84,,84,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,35,6,botte,oak,,,Italy,,,
2,0000587,,,,,,,,,,,,,2016,Superiore,Cesanese Del Piglio Superiore Tenuta Della Ioria,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,3,10-14,Cesanese d'affile 100%,Cecapreti al sugo di capra e pecorino,86,,86,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,35,6,botte,oak,"Colore rubino vivido. Regala suggestioni fruttate e speziate con sentori di marasca, pepe nero, frutti di bosco, humus, tabacco dolce da pipa, alloro e radice di liquirizia. Delicata folata balsamica e resinosa in sottofondo. Al palato esibisce grinta tannica, è caldo e discretamente lungo. ",,Italy,,,
2,0000587,,,,,,,,,,,,,2017,Superiore,Cesanese Del Piglio Superiore Tenuta Della Ioria,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,3,10-14,Cesanese d'affile 100%,Pappardelle al cinghiale,87,,87,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,35,6,botte,oak,"Rosso rubino. Si esprime con generosi tratti di frutti scuri su un letto di spezie dolci, vaniglia e di pepe bianco, accompagnati da una raffinata balsamicità; emergono accenni di tostatura, caffè e cioccolato. Sorso snello, animato da una freschezza scattante; corpo avvolgente  e tannini vellutati donano piacevolezza che richiama un secondo sorso. ",,Italy,,,
2,0000587,,,,,,,,,,,,,2018,Superiore,Cesanese Del Piglio Superiore Tenuta Della Ioria,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,4,10-14,Cesanese d'affile 100%,Filetto di maiale confit con tartufo e arance,90,,90,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,35,6,botte,oak,"Rubino di grande spessore. Deliziano il  naso raffinate nuance floreali, more di rovo, confettura di prugna, visciole sotto spirito e spezie dolci; seguono preziosi sentori di legno di cedro, cioccolato e una sfumata percezione di sottobosco, permeata da soffi balsamici  Il gusto pieno e avvolgente, caratterizzato da freschezza, è sostenuto da pregiati e possenti tannini. Palato dinamico e armonioso, di lunga persistenza, su ricordi fruttati. ",,Italy,,,
1,0000587-1,1.79,13,1.07,18,10,0.84,14,,0,,3.0,,,Superiore,Cesanese Del Piglio Superiore Tenuta Della Ioria,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,2★-4★,10-14,Cesanese d'affile 100%,Cecapreti al sugo di capra e pecorino – Pappardelle al cinghiale – Filetto di maiale confit con tartufo e arance,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,35k,6,botte,oak,,,Italy,,,
2,0000585,,,,,,,,,,,,,2019,,Cesanese Del Piglio Zero S,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,2,10-14,Cesanese d'affile 100%,nd,84,,84,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,4,6,acciaio,steel,,,Italy,,,
1,0000585-1,0.12,1,0.07,1,1,0.05,1,,0,,2.0,,,,Cesanese Del Piglio Zero S,DOCG,Cesanese Del Piglio,Casale Della Ioria,Lazio,3★,10-14,Cesanese d'affile 100%,nd,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,4k,6,acciaio,steel,,,Italy,,,
2,0000615,,,,,,,,,,,,,2014,,Cesanese Del Piglio Hernicus,DOCG,Cesanese Del Piglio,Coletti Conti,Lazio,3,10-14,Cesanese d'affile 100%,Carrè di maiale arrosto,86,,86,,na,Lazio Cesanese,Rosso fermo,Red Wine,13.5,25,12,botte piccola/cemento,small oak/concrete,"Rosso rubino con riflessi granato. Vivace naso di viole e ciliegie con sfumature di sottobosco e ricordi floreali. Tannini briosi e freschezza danzano con le morbidezze in un sorso agile e gradevole, Pulita e di buona persistenza la chiusura, con rimandi alle note più fresche fin qui espresse.",,Italy,,,
2,0000615,,,,,,,,,,,,,2015,,Cesanese Del Piglio Hernicus,DOCG,Cesanese Del Piglio,Coletti Conti,Lazio,3,10-14,Cesanese d'affile 100%,Pecorino di fossa,86,,86,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,25,15,botte piccola/cemento,small oak/concrete,"Rosso rubino vivo. ll naso spazia tra ciliegia sotto spirito, amarena candita e rosa canina. Deciso accenno speziato al pepe bianco e ai chiodi di garofano, e ricordi di sottobosco. Sorso bilanciato, con tannini eleganti. Fresco nonostante l'accentuata dotazione calorica.",,Italy,,,
1,0000615-1,0.68,5,0.41,7,4,0.32,5,,0,,3.0,,,,Cesanese Del Piglio Hernicus,DOCG,Cesanese Del Piglio,Coletti Conti,Lazio,3★,10-14,Cesanese d'affile 100%,Carrè di maiale arrosto – Pecorino di fossa,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,12k,12-15 mesi in barrique e cemento,botte piccola/cemento,small oak/concrete,,,Italy,,,
2,0000614,,,,,,,,,,,,,2014,Superiore,Cesanese Del Piglio Superiore Romanico,DOCG,Cesanese Del Piglio,Coletti Conti,Lazio,3,20-24,Cesanese d'affile 100%,Gnocchi di patate e castange con zucca e salsiccia,85,,85,,na,Lazio Cesanese,Rosso fermo,Red Wine,15,4,15,botte piccola,small oak,"Si presenta con un carico di colore rosso granato. Caldi i profumi di spezie e di frutta scura matura, pepe, mirtilli, con cenni di caffè e tabacco. Beva elegante e morbida. Il tannino è carezzevole, accompagnato da freschezza a bilanciamento della componente alcolica. Buona la persistenza, con lunga chiusura. ",,Italy,,,
2,0000614,,,,,,,,,,,,,2015,Superiore,Cesanese Del Piglio Superiore Romanico,DOCG,Cesanese Del Piglio,Coletti Conti,Lazio,3,20-24,Cesanese d'affile 100%,Cinghiale al cacao,86,,86,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,25,15,botte piccola,small oak,"Dalla vinificazione dei migliori cru di cesanese d'Affile. Rubino scuro dalla trama fitta. l quadro olfattivo si apre su toni di viola, marasca e prugna. Prosegue all'insegna dell'evoluzione, con tabacco, caffè e liquirizia. Al palato colpisce per la morbidezza, bilanciata dall'acidità a tratti nascosta. Le basse rese regalano un sorso potente. ll tannino vellutato guida la persistenza prolungata e solenne",,Italy,,,
1,0000614-1,0.68,5,0.22,4,4,0.17,3,,0,,3.0,,,Superiore,Cesanese Del Piglio Superiore Romanico,DOCG,Cesanese Del Piglio,Coletti Conti,Lazio,3★,20-24,Cesanese d'affile 100%,Gnocchi di patate e castange con zucca e salsiccia – Cinghiale al cacao,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,12k,15,botte piccola,small oak,,,Italy,,,
2,0000590,,,,,,,,,,,,,2016,,Cesanese Del Piglio Colle Ticchio,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,2,5-9,Cesanese d'affile 100%,nd,84,,84,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,35,6,acciaio,steel,,,Italy,,,
2,0000590,,,,,,,,,,,,,2017,,Cesanese Del Piglio Colle Ticchio,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,2,10-14,Cesanese d'affile 100%,Maltagliati con pecorino e salsiccia,84,,84,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,37,6,acciaio,steel,"Rosso rubino con riflessi granato, luminoso. Olfatto avvolgente di frutta matura, fiori rossi appassiti e spezie dolci, con sprazzi balsamici su un fondo minerale. Rotondo in bocca,  con tannini morbidi e alcol integrato. Finale speziato. ",,Italy,,,
2,0000590,,,,,,,,,,,,,2019,,Cesanese Del Piglio Colle Ticchio,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,3,10-14,Cesanese d'affile 100%,Fave e pecorino,85,,85,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,26,6,acciaio,steel,"Manto rubino netto e luminoso. All'olfatto emergono lievi toni vegetali, seguiti da nuance di viola, visciola, foglioline di menta e di  alloro. Beva gustosa, con piacevole timbro tannico e dosata freschezza; termina con una discreta persistenza dal retrogusto coerente.",,Italy,,,
2,0000590,,,,,,,,,,,,,2020,,Cesanese Del Piglio Colle Ticchio,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,3,10-14,Cesanese d'affile 100%,nd,86,,86,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,40,6,acciaio,steel,,,Italy,,,
1,0000590-1,0.91,7,0.54,9,5,0.42,7,,0,,2.5,,,,Cesanese Del Piglio Colle Ticchio,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,2★-3★,10-14,Cesanese d'affile 100%,Maltagliati con pecorino e salsiccia – Fave e pecorino,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,26k-40k,6,acciaio,steel,,,Italy,,,
2,0000589,,,,,,,,,,,,,2015,,Cesanese Del Piglio San Magno,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,3,10-14,Cesanese d'affile 100%,Filetto di manzo con marroni e cavolo rosso,86,,86,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,5,12,botte piccola,small oak,"Rubino impenetrabile. Al naso sfoggia profumi nitidi e variegati, con un esordio di mirtillo che vira poi su ginepro, pasta d'acciughe, ruggine, sbuffi di incenso, per sfumare in una scia di caffè e liquirizia. L'ingresso in bocca è austero, incentrato sul tannino possente, ancora un  po' ruvido ma ben incorporato nella dotazione calorica. ",,Italy,,,
2,0000589,,,,,,,,,,,,,2018,,Cesanese Del Piglio San Magno,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,3,20-24,Cesanese d'affile 100%,Costolette di agnello alla brace,86,,86,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,9,12,botte piccola,small oak,"Rosso rubino lucente. Decise sensazioni mediterranee di mirto, ciliegia rossa, prugna, violetta, erbe di campo e tabacco biondo si uniscono a una nobile componente speziata Sorso di volume, domato da un tannino fitto e diffuso e da un'ottima freschezza. Lungo finale sapido. ",,Italy,,,
2,0000589,,,,,,,,,,,,,2019,,Cesanese Del Piglio San Magno,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,4,20-24,Cesanese d'affile 100%,Abbaccio alle erbe aromatiche con patate,89,,89,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,7,12,botte piccola,small oak,"Profondo scrigno rubino dagli intensi profumi di viola, rosa rossa, ciliegia croccante e marasca che affiancano leggeri slanci di vaniglia e pepe nero. Di corpo, caldo, sorretto da buo- na acidità e da tannini piacevoli, ancora in evoluzione. Buona la persistenza sapida su echi speziati.",,Italy,,,
1,0000589-1,1.68,12,0.55,9,9,0.43,7,,0,,3.3,,,,Cesanese Del Piglio San Magno,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,2★-4★,20-24,Cesanese d'affile 100%,Filetto di manzo con marroni e cavolo rosso – Costolette di agnello alla brace – Abbaccio alle erbe aromatiche con patate,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,35k,12,botte piccola,small oak,,,Italy,,,
2,0000591,,,,,,,,,,,,,2013,Superiore,Cesanese Del Piglio Superiore Ottavocielo,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,3,20-24,Cesanese d'affile 85% – Cesanese 15%,Cinghiale alle erbe,86,,86,,na,Lazio Cesanese,Rosso fermo,Red Wine,15,3,12,botte piccola/botte grande,small/big oak,"Rosso granato. Esordio etereo di iodio e gommalacca, cui seguono ricordi di prugna in confettura, cioccolato e sbuffi mentolati. China, rabarbaro e ferruginosa mineralità chiudono  il quadro olfattivo. Bocca decisa, morbida e robusta. Vino non facile, altero, per chi ama le sfide. ",,Italy,,,
2,0000591,,,,,,,,,,,,,2018,Superiore,Cesanese Del Piglio Superiore Ottavocielo,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,3,25-29,Cesanese d'affile 100%,Spezzatino di manzo all ginepro,86,,86,,na,Lazio Cesanese,Rosso fermo,Red Wine,15,3,12,botte piccola/botte grande,small/big oak,"Rosso rubino. Al naso apre con sensazioni di frutti rossi in confettura, integrate da cenni  di carrube, tabacco, tè nero e cioccolato; sul sottofondo aleggiano rimandi balsamici L'assaggio è morbido, con dotazione calorica imponente, irrorata da una fresca verve. Trama tannica ben integrata e di pregevole fattura.",,Italy,,,
1,0000591-1,0.68,5,0.18,3,4,0.14,2,,0,,3.0,,,Superiore,Cesanese Del Piglio Superiore Ottavocielo,DOCG,Cesanese Del Piglio,Corte Dei Papi,Lazio,3★,25-29,Cesanese d'affile – Cesanese,Cinghiale alle erbe – Spezzatino di manzo all ginepro,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,15,3k,12,botte piccola/botte grande,small/big oak,,,Italy,,,
2,0000592,,,,,,,,,,,,,2015,,Cesanese Del Piglio Sapiens,DOCG,Cesanese Del Piglio,Federici,Lazio,2,15-19,Cesanese 100%,nd,84,,84,,na,Lazio Cesanese,Rosso fermo,Red Wine,13.5,60,6,acciaio,steel,,,Italy,,,
2,0000592,,,,,,,,,,,,,2019,,Cesanese Del Piglio Sapiens,DOCG,Cesanese Del Piglio,Federici,Lazio,2,15-19,Cesanese 100%,nd,84,,84,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,60,6,acciaio,steel,,,Italy,,,
1,0000592-1,0.23,2,0.10,2,1,0.08,1,,0,,2.0,,,,Cesanese Del Piglio Sapiens,DOCG,Cesanese Del Piglio,Federici,Lazio,1★-3★,15-19,Cesanese 100%,nd,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,60k,6,acciaio,steel,,,Italy,,,
