Entry,0005916,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
1,0005867-1,0.45,4,0.41,13,4,0.41,13,3,0.23,6,2.5,,,,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Tenuta Kofererhof,Alto Adige,2★-3★,9-13,Muller Thurgau 100%,nd,84.0,2★-3★,84.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,12.5,6k,-,-,-,,,Italy,,,
2,0005856,,,,,,,,,,,,2017,2014,,Alto Adige Muller Thurgau Feldmarschall Von Fenner,DOC,Alto Adige Muller Thurgau,Tiefenbrunner,Alto Adige,5,20-24,Muller Thurgau 100%,Aragosta alla catalana,91,5,91,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13,12,8,acciaio/botte,steel/oak,"Giallo paglierino luminosissimo. Frutto della passione e mela renetta, ananas  e succo d'arancia aprono le danze. Fiori di sambuco e camomilla regalano un leggiadro tocco floreale. In bocca mostra densità ed equilibrio tra le morbidezze  e la decisa freschezza, con una vena sapida. Progressione che sembra senza fine su ricordi di melone. Vigneto a 1000 metri di altitudine. Acciaio e rovere. ",,Italy,,,
2,0005856,,,,,,,,,,,,2018,2015,,Alto Adige Muller Thurgau Feldmarschall Von Fenner,DOC,Alto Adige Muller Thurgau,Tiefenbrunner,Alto Adige,5,21-25,Muller Thurgau 100%,Branzino al forno con erbe aromatiche,92,5,92,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,12,8,acciaio/botte,steel/oak,"Veste paglierino lucente. Bouquet molto intenso e variegato che propone mela matura e pompelmo, pesca e albicocca, olive e noce moscata con effluvi fumé Sorso di grande eleganza e pulizia. Mineralità e freschezza regalano al palato tensione e vivacità, in equilibrio con la morbidezza. Corposo e armonico, chiude il suo percorso con grande piacevolezza. Acciaio e botte grande per 8 mesi. ",,Italy,,,
2,0005856,,,,,,,,,,,,2019,2016,,Alto Adige Muller Thurgau Feldmarschall Von Fenner,DOC,Alto Adige Muller Thurgau,Tiefenbrunner,Alto Adige,5,26-30,Muller Thurgau 100%,nd,93,5,93,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,13,8,acciaio/botte,steel/oak,"Signorile già dal colore, dai bagliori paglierini. Il timbro olfattivo è profondo e intrigante, con una fine tostatura alternata al fruttato di albicocche e susine, pesca bianca e buccia d'arancia; seguono cenni vegetali di levistico  e basilico. La struttura, di ottima connotazione varietale, è mirabilmente sostenuta dalla vena alcolica ben presente, bilanciata da freschezza e sapidità. Finale lungo e intenso, dal sapore ammandorlato. Maturazione in acciaio per 8 mesi, cui seguono altri 8 mesi in botti grandi di rovere. ",,Italy,,,
2,0005856,,,,,,,,,,,,2020,2017,,Alto Adige Muller Thurgau Feldmarschall Von Fenner,DOC,Alto Adige Muller Thurgau,Tiefenbrunner,Alto Adige,4,30-34,Muller Thurgau 100%,nd,90,4,90,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,12,8,acciaio/botte,steel/oak,,,Italy,,,
2,0005856,,,,,,,,,,,,2021,2018,,Alto Adige Muller Thurgau Feldmarschall Von Fenner,DOC,Alto Adige Muller Thurgau,Tiefenbrunner,Alto Adige,2,31-35,Muller Thurgau 100%,nd,84,2,84,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,16,8,acciaio/botte,steel/oak,,,Italy,,,
2,0005856,,,,,,,,,,,,2022,2019,,Alto Adige Muller Thurgau Feldmarschall Von Fenner,DOC,Alto Adige Muller Thurgau,Tiefenbrunner,Alto Adige,2,31-35,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,16,10,acciaio/botte,steel/oak,,,Italy,,,
1,0005856-1,10.18,100,3.03,100,100,3.03,100,57,1.72,48,3.8,,,,Alto Adige Muller Thurgau Feldmarschall Von Fenner,DOC,Alto Adige Muller Thurgau,Tiefenbrunner,Alto Adige,2★-5★,31-35,Muller Thurgau 100%,Aragosta alla catalana – Branzino al forno con erbe aromatiche – ,88.7,2★-5★,88.7,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,13.5,12k-16k,10,acciaio/botte,steel/oak,,,Italy,,,
D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0005861,,,,,,,,,,,,2017,2015,,Muller Thurgau,IGT,Mitterberg Muller Thurgau,Tenuta Spitalerhof,Alto Adige,2,7-11,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13,12,-,-,-,,,Italy,,,
1,0005861-1,0.12,100,11.11,100,1,0.13,4,1,0.07,2,2.0,,,,Muller Thurgau,IGT,Mitterberg Muller Thurgau,Tenuta Spitalerhof,Alto Adige,2★,7-11,Muller Thurgau 100%,nd,82.0,2★,82.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,13,12k,-,-,-,,,Italy,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0005906,,,,,,,,,,,,2021,2018,Valle Isarco,Alto Adige Pinot Grigio Valle Isarco Praepositus,DOC,Alto Adige Pinot Grigio,Abbazia Di Novacella,Alto Adige,2,14-18,Pinot grigio 100%,nd,82,2,82,,,,Alto Adige White Wines,Bianco fermo,White Wine,14.5,4,-,-,-,,,Italy,,,
1,0005906-1,0.12,2,0.14,4,,0.00,,1,0.04,1,2.0,,,Valle Isarco,Alto Adige Pinot Grigio Valle Isarco Praepositus,DOC,Alto Adige Pinot Grigio,Abbazia Di Novacella,Alto Adige,2★,14-18,Pinot grigio 100%,nd,82.0,2★,82.0,nd,nd,,Alto Adige White Wines,Bianco fermo,White Wine,14.5,4k,-,-,-,,,Italy,,,
2,0005888,,,,,,,,,,,,2017,2015,,Alto Adige Pinot Grigio Penoner,DOC,Alto Adige Pinot Grigio,Cantina Kurtatsch,Alto Adige,2,12-16,Pinot grigio 100%,nd,82,2,82,,,,Alto Adige White Wines,Bianco fermo,White Wine,14,15,-,-,-,,,Italy,,,
2,0005888,,,,,,,,,,,,2019,2016,,Alto Adige Pinot Grigio Penoner,DOC,Alto Adige Pinot Grigio,Cantina Kurtatsch,Alto Adige,2,14-18,Pinot grigio 100%,nd,82,2,82,,,,Alto Adige White Wines,Bianco fermo,White Wine,14,20,-,-,-,,,Italy,,,
2,0005888,,,,,,,,,,,,2021,2018,,Alto Adige Pinot Grigio Penoner,DOC,Alto Adige Pinot Grigio,Cantina Kurtatsch,Alto Adige,2,15-19,Pinot grigio 100%,nd,82,2,82,,,,Alto Adige White Wines,Bianco fermo,White Wine,14,10,-,-,-,,,Italy,,,
1,0005888-1,0.35,7,0.40,10,,0.00,,2,0.11,3,2.0,,,,Alto Adige Pinot Grigio Penoner,DOC,Alto Adige Pinot Grigio,Cantina Kurtatsch,Alto Adige,2★,15-19,Pinot grigio 100%,nd,82.0,2★,82.0,nd,nd,,Alto Adige White Wines,Bianco fermo,White Wine,14,10k-20k,-,-,-,,,Italy,,,
2,0005889,,,,,,,,,,,,2017,2015,,Alto Adige Pinot Grigio Punggl,DOC,Alto Adige Pinot Grigio,Cantina Nals Margreid,Alto Adige,2,14-18,Pinot grigio 100%,nd,82,2,82,,,,Alto Adige White Wines,Bianco fermo,White Wine,14.5,35,8,botte grande,big oak,,,Italy,,,
2,0005889,,,,,,,,,,,,2018,2016,,Alto Adige Pinot Grigio Punggl,DOC,Alto Adige Pinot Grigio,Cantina Nals Margreid,Alto Adige,2,15-19,Pinot grigio 100%,nd,84,2,84,,,,Alto Adige White Wines,Bianco fermo,White Wine,14,35,8,botte grande,big oak,,,Italy,,,
2,0005889,,,,,,,,,,,,2019,2017,,Alto Adige Pinot Grigio Punggl,DOC,Alto Adige Pinot Grigio,Cantina Nals Margreid,Alto Adige,3,16-20,Pinot grigio 100%,Ravioli con burrata e pomodori secchi,85,3,85,,,,Alto Adige White Wines,Bianco fermo,White Wine,14,32,8,botte grande,big oak,"Paglierino lucido. Bouquet di mela golden, mela cotogna e spezie dolci con sbuffi di crosta di pane. Al palato è ricco e caldo; dipana in seguito  una freschezza gradevole e sapidità succosa. Equilibrato e intenso, sfuma con calma, indugiando sugli aromi percepiti all'olfatto. Riposa in botte grande per 8 mesi ",,Italy,,,
2,0005889,,,,,,,,,,,,2020,2018,,Alto Adige Pinot Grigio Punggl,DOC,Alto Adige Pinot Grigio,Cantina Nals Margreid,Alto Adige,2,16-20,Pinot grigio 100%,nd,84,2,84,,,,Alto Adige White Wines,Bianco fermo,White Wine,14,40,8,botte grande,big oak,,,Italy,,,
2,0005889,,,,,,,,,,,,2021,2019,,Alto Adige Pinot Grigio Punggl,DOC,Alto Adige Pinot Grigio,Cantina Nals Margreid,Alto Adige,3,16-20,Pinot grigio 100%,nd,85,3,85,,,,Alto Adige White Wines,Bianco fermo,White Wine,14,35,8,botte grande,big oak,,,Italy,,,
2,0005889,,,,,,,,,,,,2022,2020,,Alto Adige Pinot Grigio Punggl,DOC,Alto Adige Pinot Grigio,Cantina Nals Margreid,Alto Adige,2,17-21,Pinot grigio 100%,nd,84,2,84,,,,Alto Adige White Wines,Bianco fermo,White Wine,14,35,8,botte grande,big oak,,,Italy,,,
1,0005889-1,1.14,22,1.18,29,,0.00,,6,0.34,9,2.3,,,,Alto Adige Pinot Grigio Punggl,DOC,Alto Adige Pinot Grigio,Cantina Nals Margreid,Alto Adige,2★-3★,17-21,Pinot grigio 100%,Ravioli con burrata e pomodori secchi – ,84.0,2★-3★,84.0,nd,nd,,Alto Adige White Wines,Bianco fermo,White Wine,14,32k-40k,8,botte grande,big oak,,,Italy,,,
2,0005898,,,,,,,,,,,,2018,2015,,Alto Adige Pinot Grigio Sanct Valentin,DOC,Alto Adige Pinot Grigio,Cantina San Michele Appiano,Alto Adige,5,19-23,Pinot grigio 100%,nd,91,5,91,,,,Alto Adige White Wines,Bianco fermo,White Wine,14.5,35,8,botte piccola/botte media,small/medium oak,,,Italy,,,
2,0005898,,,,,,,,,,,,2019,2016,,Alto Adige Pinot Grigio Sanct Valentin,DOC,Alto Adige Pinot Grigio,Cantina San Michele Appiano,Alto Adige,4,20-24,Pinot grigio 100%,Testina di vitello con canederli arrostiti e cipolle,90,4,90,,,,Alto Adige White Wines,Bianco fermo,White Wine,14.5,35,8,botte piccola/botte media,small/medium oak,"Paglierino vivido. Ricercati aromi tostati serpeggiano su uno sfondo dal timbro speziato. Nitide evidenze di chiodi di garofano si alternano a sentori di noci,  e sfociano in un insieme sontuoso di frutta esotica. Al palato è la sapidità a farla da padrone, sostenendo con forza calore alcolico e struttura. Teso e dritto il lungo finale, che invita a un nuovo sorso, Fermentazione in barrique e tonneau,  ",,Italy,,,
2,0005898,,,,,,,,,,,,2021,2018,,Alto Adige Pinot Grigio Sanct Valentin,DOC,Alto Adige Pinot Grigio,Cantina San Michele Appiano,Alto Adige,4,22-26,Pinot grigio 100%,Spaghetti con alici e finocchietto,89,4,89,,,,Alto Adige White Wines,Bianco fermo,White Wine,14.5,45,8,botte piccola/botte media,small/medium oak,"Paglierino con riflessi dorati. Esordio di pera kaiser, mela golden, melone bianco, fiori di acacia e robinia; i sentori di cioccolato bianco, marzapane e mallo di noce tradiscono un efficace passaggio in legno. Il sorso, robusto, morbido e caldo, è sorretto dalla vena sapida, intrecciata sapientemente alla freschezza. Ritornano nel finale aromi di frutta. Fermentazione in barrique e tonneau ",,Italy,,,
2,0005898,,,,,,,,,,,,2022,2019,,Alto Adige Pinot Grigio Sanct Valentin,DOC,Alto Adige Pinot Grigio,Cantina San Michele Appiano,Alto Adige,2,23-27,Pinot grigio 100%,nd,84,2,84,,,,Alto Adige White Wines,Bianco fermo,White Wine,14.5,45,8,botte piccola/botte media,small/medium oak,,,Italy,,,
1,0005898-1,5.10,100,4.00,100,,0.00,,29,1.14,31,3.8,,,,Alto Adige Pinot Grigio Sanct Valentin,DOC,Alto Adige Pinot Grigio,Cantina San Michele Appiano,Alto Adige,2★-5★,23-27,Pinot grigio 100%,Testina di vitello con canederli arrostiti e cipolle – Spaghetti con alici e finocchietto – ,88.5,2★-5★,88.5,nd,nd,,Alto Adige White Wines,Bianco fermo,White Wine,14.5,35k-45k,8,botte piccola/botte media,small/medium oak,,,Italy,,,
2,0005905,,,,,,,,,,,,2021,2019,,Alto Adige Pinot Grigio Loss,DOC,Alto Adige Pinot Grigio,Cantina San Paolo,Alto Adige,3,9-13,Pinot grigio 100%,Vellutata di ceci e gambero croccante,86,3,86,,,,Alto Adige White Wines,Bianco fermo,White Wine,13.5,3,8,botte,oak,"Paglierino lieve. Il bouquet, fresco e brioso, racconta di erbe aromatiche, mela granny smith e pompelmo, passando attraverso un velo speziato ricco di stille di miele di acacia. Sorso immediato e amichevole, di eccelsa fattura. Caldo ma ben bilanciato, termin; su toni amaricanti. Riposa in botti grand di rovere francese per 8 mesi  ",,Italy,,,
